name,link
"4.6折廣告6.21限定下單 買一送一 Miss花漾淡香水 甜心小姐香水 正貨附專櫃購置憑證 濃香 50ml 100ml 不正包退2 件 5折$1,318 - $1,668已售出 67嘉義市西區找相似",https://shopee.tw//6.21限定下單-買一送一-Miss花漾淡香水-甜心小姐香水-正貨附專櫃購置憑證-濃香-50ml-100ml-不正包退-i.97576085.19401412179?sp_atk=9c98f03f-5e83-46d9-aba8-28f2aac3a189&xptdk=9c98f03f-5e83-46d9-aba8-28f2aac3a189
"5.2折廣告6.21限定下 買一送一 COCO小姐香水系列 N°5 清新晨露 典藏香 馥郁摩登 女士 不正包退 支持驗貨附帶專櫃提袋2 件 5折$1,488 - $1,688已售出 75嘉義市西區找相似",https://shopee.tw//6.21限定下-買一送一-COCO小姐香水系列-N°5-清新晨露-典藏香-馥郁摩登-女士-不正包退-支持驗貨附帶專櫃提袋-i.97576085.21503615192?sp_atk=62618f79-610c-4cc6-bc0f-432ab4ee2fa5&xptdk=62618f79-610c-4cc6-bc0f-432ab4ee2fa5
"4.5折廣告6.21限定下單買一送一 曠野之♥ SAUV♥AGE 香水香精100ml不正包退 EDT 男士香水 男香水淡香兩件五折2 件 5折$1,536 - $1,836嘉義市西區找相似",https://shopee.tw//6.21限定下單買一送一-曠野之♥-SAUV♥AGE-香水香精100ml不正包退-EDT-男士香水-男香水淡香兩件五折-i.97576085.21113768091?sp_atk=28a486d3-9aa6-4277-a9c5-ea8ab5d8c1d7&xptdk=28a486d3-9aa6-4277-a9c5-ea8ab5d8c1d7
"5.3折廣告6.21限定下單 買一送一GU-CCl香水 花悅繁花全系列 古-馳女士香水 花之舞 罪愛 繁花之水 綺夢梔子花100ml2 件 5折$1,680 - $1,960已售出 23嘉義市西區找相似",https://shopee.tw//6.21限定下單-買一送一GU-CCl香水-花悅繁花全系列-古-馳女士香水-花之舞-罪愛-繁花之水-綺夢梔子花100ml-i.97576085.21304495374?sp_atk=dcf25923-d0f0-4371-accb-69c3e69bce2a&xptdk=dcf25923-d0f0-4371-accb-69c3e69bce2a
廣告分香閣Coach Floral芙洛麗女性淡香精 分享瓶分裝瓶小ml小香試管針管$35 - $100已售出 78花蓮縣花蓮市找相似,https://shopee.tw//分香閣Coach-Floral芙洛麗女性淡香精-分享瓶分裝瓶小ml小香試管針管-i.630102045.11978859097?sp_atk=77e781f8-f973-44fa-9ab6-3158d9fed4f3&xptdk=77e781f8-f973-44fa-9ab6-3158d9fed4f3
蝦皮優選香妮💋Coach New York 時尚經典 女性淡香水 身體乳/30ml /50ml  / 90ml/【TESTER】$580 - $999已售出 335高雄市路竹區找相似,https://shopee.tw//香妮💋Coach-New-York-時尚經典-女性淡香水-身體乳-30ml-50ml-90ml-【TESTER】-i.131326797.2048886597?sp_atk=0ef26a25-7ac4-47d7-8d51-57b8eee17010&xptdk=0ef26a25-7ac4-47d7-8d51-57b8eee17010
❤️愛妮❤️COACH 時尚經典 男性淡香水 100ml【TESTER包裝】$999已售出 745高雄市路竹區找相似,https://shopee.tw//❤️愛妮❤️COACH-時尚經典-男性淡香水-100ml【TESTER包裝】-i.48341460.1753747918?sp_atk=9abc1aa6-83fb-4dae-95ad-3e7fbb3174d8&xptdk=9abc1aa6-83fb-4dae-95ad-3e7fbb3174d8
COACH 時尚經典 男性 女淡香水/女性淡香精/芙洛麗/嫣紅芙洛麗/時尚藍調  4.5ml  迷你小香水『WNP』$199 - $220已售出 614臺北市大同區找相似,https://shopee.tw//COACH-時尚經典-男性-女淡香水-女性淡香精-芙洛麗-嫣紅芙洛麗-時尚藍調-4.5ml-迷你小香水『WNP』-i.80228033.1454099677?sp_atk=14e97105-e704-478b-bb00-d8ccfd2a7b46&xptdk=14e97105-e704-478b-bb00-d8ccfd2a7b46
蝦皮優選COACH 時尚經典/時尚藍調/嫣紅芙洛麗/芙洛麗 男性淡香水女性淡香精4.5ml/小香水 任選一款多件優惠$220已售出 35新北市林口區找相似,https://shopee.tw//COACH-時尚經典-時尚藍調-嫣紅芙洛麗-芙洛麗-男性淡香水女性淡香精4.5ml-小香水-任選一款-i.21353070.6175631586?sp_atk=9dca1b56-4b28-4b29-b6d8-a40884e800d2&xptdk=9dca1b56-4b28-4b29-b6d8-a40884e800d2
"Coach香水入門款 時尚經典/芙洛麗系列香水任選特價優惠(男香女香任選優惠)9.5折$1,550 - $1,650已售出 374新北市樹林區找相似",https://shopee.tw//Coach香水入門款-時尚經典-芙洛麗系列香水任選特價優惠(男香女香任選優惠)-i.108119023.2087163032?sp_atk=197f1a6c-923f-4042-acaa-3583457133d2&xptdk=197f1a6c-923f-4042-acaa-3583457133d2
"愛妮❤️Coach Floral 芙洛麗 女性淡香精 30ml / 50ml/ 90ml /禮盒/身體乳 /TESTER$775 - $1,550已售出 297高雄市路竹區找相似",https://shopee.tw//愛妮❤️Coach-Floral-芙洛麗-女性淡香精-30ml-50ml-90ml-禮盒-身體乳-TESTER-i.48341460.1064969596?sp_atk=439ede7c-dc86-4e10-b1ec-807d9fc667e5&xptdk=439ede7c-dc86-4e10-b1ec-807d9fc667e5
"【超激敗】Coach New York 時尚經典 女性淡香水 30ML 50ML 90ML$789 - $1,629已售出 194臺北市大同區找相似",https://shopee.tw//【超激敗】Coach-New-York-時尚經典-女性淡香水-30ML-50ML-90ML-i.4884871.83512672?sp_atk=6444bb17-50e5-4e05-a97f-a3db737f0746&xptdk=6444bb17-50e5-4e05-a97f-a3db737f0746
"蝦皮優選3.2折COACH 蔻馳 時尚經典 Floral 芙洛麗 嫣紅 女性淡香精 淡香水 30ml 90ml TESTER 香水 女香滿額折$20$753 - $1,620已售出 11臺北市信義區找相似",https://shopee.tw//COACH-蔻馳-時尚經典-Floral-芙洛麗-嫣紅-女性淡香精-淡香水-30ml-90ml-TESTER-香水-女香-i.353375151.14215892795?sp_atk=4dc8c5a1-a81e-4ea0-a4c1-7b8240df9579&xptdk=4dc8c5a1-a81e-4ea0-a4c1-7b8240df9579
"【超激敗】Coach 時尚經典 男性淡香水 40ML 60ML 100ML 200ML New York FOR MEN$789 - $1,989已售出 324臺北市大同區找相似",https://shopee.tw//【超激敗】Coach-時尚經典-男性淡香水-40ML-60ML-100ML-200ML-New-York-FOR-MEN-i.4884871.688936866?sp_atk=5a69a7b6-6743-4994-b2db-9958a97d3745&xptdk=5a69a7b6-6743-4994-b2db-9958a97d3745
"5.8折COACH NEW YORK 時尚經典 女性淡香水 30ml / 90ml ［ 10點半香水美妝 ］$1,550$899已售出 89臺中市西區找相似",https://shopee.tw//COACH-NEW-YORK-時尚經典-女性淡香水-30ml-90ml-［-10點半香水美妝-］-i.54574900.935287954?sp_atk=8ebe4f41-8ac4-440e-ac43-4b27725d24e7&xptdk=8ebe4f41-8ac4-440e-ac43-4b27725d24e7
"3折廣告chanel 香水  no5 香水分裝瓶  淡香水 小香水 香水小樣  試香 coco香水  試香 2ML 香水分裝$167$50已售出 2,580桃園市蘆竹區找相似",https://shopee.tw//chanel-香水-no5-香水分裝瓶-淡香水-小香水-香水小樣-試香-coco香水-試香-2ML-香水分裝-i.411545799.13240737090?sp_atk=0093f958-71f8-4f0d-a485-74e25e10d3dc&xptdk=0093f958-71f8-4f0d-a485-74e25e10d3dc
"6折廣告6.21限定下單買一送一 寶格❁麗香水大吉嶺茶原版 大吉嶺茶夜幽 大吉嶺茶極致 女士香水 中性淡香水男士淡香水100ml2 件 5折$2,800$1,680已售出 2嘉義市西區找相似",https://shopee.tw//6.21限定下單買一送一-寶格❁麗香水大吉嶺茶原版-大吉嶺茶夜幽-大吉嶺茶極致-女士香水-中性淡香水男士淡香水100ml-i.97576085.20010024391?sp_atk=bb2f85c9-3fce-407d-b680-04e15199c65d&xptdk=bb2f85c9-3fce-407d-b680-04e15199c65d
"2.7折廣告❁買一送一❁Miss 甜心小姐 EDT EDP 花漾甜心淡香水100ml 花樣香水 女性香水 女士香水2 件 5折$880 - $1,480已售出 10臺北市松山區找相似",https://shopee.tw//❁買一送一❁Miss-甜心小姐-EDT-EDP-花漾甜心淡香水100ml-花樣香水-女性香水-女士香水-i.97576140.10296130435?sp_atk=f01d39f9-c0ba-4a32-828a-088963c5a5f5&xptdk=f01d39f9-c0ba-4a32-828a-088963c5a5f5
