title,link,search_term
Amouage Meander 愛慕 蜿蜒之原加價購$130 - $600已售出 5臺北市中正區找相似,https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/Amouage-Meander-愛慕-蜿蜒之原-i.554035218.13635545249?sp_atk=c8670ef9-6b9c-4629-b6fe-c3ec65955d72&xptdk=c8670ef9-6b9c-4629-b6fe-c3ec65955d72,AMOUAGE
7.6折愛慕  史詩  女香  Amouage Epic Woman$89 - $213已售出 43新北市五股區找相似,https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/愛慕-史詩-女香-Amouage-Epic-Woman-i.379446124.10631736984?sp_atk=b36cb0fe-2b55-4979-8e81-3aede1ad1a9c&xptdk=b36cb0fe-2b55-4979-8e81-3aede1ad1a9c,AMOUAGE
🧛‍♂️男香控㊣ AMOUAGE 愛慕 Epic 史詩 試香$140 - $580已售出 40桃園市大園區找相似,https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/🧛‍♂️男香控㊣-AMOUAGE-愛慕-Epic-史詩-試香-i.3559566.6536833179?sp_atk=b5e2b9df-fc18-4c5c-a6b7-3ebdc8b9f37d&xptdk=b5e2b9df-fc18-4c5c-a6b7-3ebdc8b9f37d,AMOUAGE
"廣告香@@奈 兒香水 CHANEL 蔚藍香水男士香水 淡香水100M 女香 持久留香 男禮物木質香滿額折$77$1,200 - $2,200已售出 24南投縣信義鄉找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/香-奈-兒香水-CHANEL-蔚藍香水男士香水-淡香水100M-女香-持久留香-男禮物木質香-i.28208577.14489571776?sp_atk=116d6f07-ead3-401e-ad6d-d9d7bf0b3b6f&xptdk=116d6f07-ead3-401e-ad6d-d9d7bf0b3b6f,AMOUAGE
"4.8折廣告💋買一送一💋Herm❁es 大地香水 尼羅河花園 愛馬❁仕 李先生的花園 地中海花園 橘采星光 藍色星光 屋頂花園 絲巾2 件 5折$1,568 - $1,738已售出 25新北市石門區找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/💋買一送一💋Herm❁es-大地香水-尼羅河花園-愛馬❁仕-李先生的花園-地中海花園-橘采星光-藍色星光-屋頂花園-絲巾-i.97578126.17473645179?sp_atk=7147afad-c787-481c-b76d-2bfe2695b15e&xptdk=7147afad-c787-481c-b76d-2bfe2695b15e,AMOUAGE
"5.8折廣告💋買一送一💋Bvlg❁ari 寶格❁麗 香水 大吉嶺茶 原版+夜幽+極致 女士香水 中性淡香水 男士淡香水2 件 5折$2,880$1,680已售出 53新北市石門區找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/💋買一送一💋Bvlg❁ari-寶格❁麗-香水-大吉嶺茶-原版-夜幽-極致-女士香水-中性淡香水-男士淡香水-i.97578126.10396369053?sp_atk=e8074ecc-4c9d-4a8f-b002-f221a4100e85&xptdk=e8074ecc-4c9d-4a8f-b002-f221a4100e85,AMOUAGE
"4.5折廣告7.19限定下單買一送一 曠野之♥ SAUV♥AGE 香水香精100ml不正包退 EDT 男士香水 男香水淡香兩件五折2 件 5折$1,536 - $1,836新北市石門區找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/7.19限定下單買一送一-曠野之♥-SAUV♥AGE-香水香精100ml不正包退-EDT-男士香水-男香水淡香兩件五折-i.97578126.19825107586?sp_atk=fae74a13-71e7-498f-9a58-fed0846faaff&xptdk=fae74a13-71e7-498f-9a58-fed0846faaff,AMOUAGE
"5.8折廣告❁買一送一❁Mo'schino Toy Boy 熊芯未泯2 小熊香水 泰迪熊男性香水 女性淡香水 莫斯奇諾香水 情侶香水2 件 5折$2,380$1,389已售出 18臺北市松山區找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/❁買一送一❁Mo'schino-Toy-Boy-熊芯未泯2-小熊香水-泰迪熊男性香水-女性淡香水-莫斯奇諾香水-情侶香水-i.97576140.19912503665?sp_atk=9aee81df-6225-4fbd-8895-00e2e112b47d&xptdk=9aee81df-6225-4fbd-8895-00e2e112b47d,AMOUAGE
Amouage 天空 Ciel &愛慕 Journey Woman淡香精 試聞噴管$95 - $190已售出 1彰化縣員林市找相似,https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/Amouage-天空-Ciel-愛慕-Journey-Woman淡香精-試聞噴管-i.51863450.10171338765?sp_atk=1f1fdb99-dd5a-4e0b-858a-d37c8d21c007&xptdk=1f1fdb99-dd5a-4e0b-858a-d37c8d21c007,AMOUAGE
"【超激敗】AMOUAGE 愛慕 經典 男性淡香精 禮盒 7.5ml*6 沾式 小香加價購$5,500已售出 1臺北市大同區找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/【超激敗】AMOUAGE-愛慕-經典-男性淡香精-禮盒-7.5ml*6-沾式-小香-i.4884871.5393027501?sp_atk=89482226-26a9-47fb-9add-4061b3ef5d4a&xptdk=89482226-26a9-47fb-9add-4061b3ef5d4a,AMOUAGE
蝦皮優選《試香》Amouage Gold 愛慕一千零一夜男性淡香精 試香紙$100 - $420已售出 11新北市汐止區找相似,https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/《試香》Amouage-Gold-愛慕一千零一夜男性淡香精-試香紙-i.1559866.7819637745?sp_atk=a1e54d5a-1bfe-4f69-ace1-5f1686855af4&xptdk=a1e54d5a-1bfe-4f69-ace1-5f1686855af4,AMOUAGE
"Amouage神話女性淡香精50ml$3,200新北市三重區找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/Amouage神話女性淡香精50ml-i.94616114.20920426305?sp_atk=a6e7c72a-6d1d-48cf-86ad-d5dd46bb63ad&xptdk=a6e7c72a-6d1d-48cf-86ad-d5dd46bb63ad,AMOUAGE
"6.7折AMOUAGE 愛慕 Interlude Man 間奏曲男性淡香精 100ml 全新品正包裝（平行輸入）$9,800$6,580花蓮縣富里鄉找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/AMOUAGE-愛慕-Interlude-Man-間奏曲男性淡香精-100ml-全新品正包裝（平行輸入）-i.82165546.19025963900?sp_atk=ad2c8815-5904-4cbc-b17a-bcf6dc241bd5&xptdk=ad2c8815-5904-4cbc-b17a-bcf6dc241bd5,AMOUAGE
"6.4折AMOUAGE 愛慕 EPIC 史詩女性淡香精 50ml 全新品正包裝（平行輸入）$7,800$4,999花蓮縣富里鄉找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/AMOUAGE-愛慕-EPIC-史詩女性淡香精-50ml-全新品正包裝（平行輸入）-i.82165546.19125966345?sp_atk=5a31c07c-24f2-4cf7-9bf6-a646a03c62a3&xptdk=5a31c07c-24f2-4cf7-9bf6-a646a03c62a3,AMOUAGE
AMOUAGE IMITATION霓采 男性淡香精針管 2ml$119已售出 50臺北市大同區找相似,https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/AMOUAGE-IMITATION霓采-男性淡香精針管-2ml-i.5431574.1788429408?sp_atk=46cea433-2ceb-4206-a681-3b63b7f2ffcb&xptdk=46cea433-2ceb-4206-a681-3b63b7f2ffcb,AMOUAGE
§分享香 愛慕 化蝶 女香 Amouage Honour Woman 試香$140 - $540已售出 10找相似,https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/§分享香-愛慕-化蝶-女香-Amouage-Honour-Woman-試香-i.360991322.9685771325?sp_atk=960d8f14-fef1-436c-9775-c83eeccaf742&xptdk=960d8f14-fef1-436c-9775-c83eeccaf742,AMOUAGE
[正裝分裝針管] AMOUAGE 愛慕 間奏曲黑鳶尾男性淡香精 1.2ML 效期至2025.07(平行輸入)$229已售出 3臺北市大同區找相似,https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/-正裝分裝針管-AMOUAGE-愛慕-間奏曲黑鳶尾男性淡香精-1.2ML-效期至2025.07(平行輸入)-i.5431574.17707692315?sp_atk=f86e7e17-7af1-4baa-a8f8-f90c137a3093&xptdk=f86e7e17-7af1-4baa-a8f8-f90c137a3093,AMOUAGE
Amouage Reflection Man鏡中倒影（正品）$100新竹市北區找相似,https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/Amouage-Reflection-Man鏡中倒影（正品）-i.8227712.10795840014?sp_atk=0caaff11-d7ce-4e7d-9570-7cf3bf83fe08&xptdk=0caaff11-d7ce-4e7d-9570-7cf3bf83fe08,AMOUAGE
"廣告買一送一 Miss 甜心小姐  淡香水100ml 花樣香水 女性香水 女士香水2 件 5折$1,185臺南市北區找相似",https://shopee.tw/search?keyword=%E9%A6%99%E6%B0%B4/買一送一-Miss-甜心小姐-淡香水100ml-花樣香水-女性香水-女士香水-i.816471843.21325724377?sp_atk=974401c5-4a5a-4c41-8fd3-dfb152cb3d0d&xptdk=974401c5-4a5a-4c41-8fd3-dfb152cb3d0d,AMOUAGE
