title,link,search_term,note,top_note,heart_note,base_note
"蝦皮優選6.4折YSL🌷香水【艾米花】自由不羈淡香精 慾望巴黎淡香精 黑鴉片 YSL香水 淡香水 蠟燭 聖羅蘭 50ml 30ml$769 - $2,890已售出 45新竹縣竹北市找相似",https://shopee.tw/YSL🌷香水【艾米花】自由不羈淡香精-慾望巴黎淡香精-黑鴉片-YSL香水-淡香水-蠟燭-聖羅蘭-50ml-30ml-i.16241597.2963376258?sp_atk=ec14c5ad-adbe-4592-9dd2-3710489fa5bd&xptdk=ec14c5ad-adbe-4592-9dd2-3710489fa5bd,YSL,,-前調:大米、波旁胡椒、八角茴香,-中調:橙子花、咖啡、牡丹、香菜,-後調:香草、檀木、白麝香、焦糖、牛奶
"蝦皮優選香親香愛～YSL 聖羅蘭 自由不羈 女性淡香精 90/50/30ml, LIBRE$1,938 - $3,388已售出 214臺北市大同區找相似",https://shopee.tw/香親香愛～YSL-聖羅蘭-自由不羈-女性淡香精-90-50-30ml-LIBRE-i.1285345.3513539638?sp_atk=dacf4aeb-054e-4430-a531-f5fdfd8d5c0a&xptdk=dacf4aeb-054e-4430-a531-f5fdfd8d5c0a,YSL,商品規格分類蝦皮購物美妝保養香水、香氛品牌YVESSAINTLAURENT聖羅蘭性別女性質地噴霧商品數量10出貨地臺北市大同區商品詳情香調:東方花香調,"前味:柑橘,薰衣草,黑醋栗,苦橙葉","中味:茉莉,橙花,薰衣草","後味:雪松,龍涎香,麝香,香草"
【Yves Saint Laurent】YSL 自由不羈 女性淡香水  淡香精 愛分享分裝專區 1ML 3ML 好評價$45 - $159已售出 19高雄市三民區找相似,https://shopee.tw/【Yves-Saint-Laurent】YSL-自由不羈-女性淡香水-淡香精-愛分享分裝專區-1ML-3ML-好評價-i.2468798.17634270043?sp_atk=756da4d2-76a5-4ef6-987a-fea1172a3ede&xptdk=756da4d2-76a5-4ef6-987a-fea1172a3ede,YSL,香調:東方花香調,前味:柑橘、薰衣草、黑醋栗、苦橙葉,中味:茉莉、橙花、薰衣草,後味:雪松、龍涎香、麝香、香草
試香-YSL聖羅蘭 自由不羈女性淡香精系列2ML分裝(自由不羈女性淡香精.自由不羈女性淡香水.自由不羈淡香精馥郁版)$99已售出 145高雄市楠梓區找相似,https://shopee.tw/試香-YSL聖羅蘭-自由不羈女性淡香精系列2ML分裝(自由不羈女性淡香精.自由不羈女性淡香水.自由不羈淡香精馥郁版)-i.39973995.12546316932?sp_atk=c5d66295-2ebd-46eb-a684-017918974689&xptdk=c5d66295-2ebd-46eb-a684-017918974689,YSL,,前味:柑橘、薰衣草、佛手柑,中味:茉莉、橙花、薰衣草、蘭花,後味:香根草、龍涎香、頓加豆、香草
"5.4折廣告YSL 自由不羈淡香精 30ml 現貨 蝦皮直送9.3折$3,000$1,628已售出 1桃園市楊梅區找相似",https://shopee.tw/YSL-自由不羈淡香精-30ml-現貨-蝦皮直送-i.116304162.19511834580?sp_atk=ac0ae3c8-a3da-4d7d-9c13-94bc4b9b6fb9&xptdk=ac0ae3c8-a3da-4d7d-9c13-94bc4b9b6fb9,YSL,香調:東方花香調,前味:柑橘、薰衣草、黑醋栗、苦橙葉,中味:茉莉、橙花、薰衣草,後味:雪松、龍涎香、麝香、香草
"蝦皮優選香親香愛～YSL 聖羅蘭 自由不羈 女性淡香水 10ml, LIBRE$638 - $688已售出 13臺北市大同區找相似",https://shopee.tw/香親香愛～YSL-聖羅蘭-自由不羈-女性淡香水-10ml-LIBRE-i.1285345.15716272272?sp_atk=10914e5a-4073-4647-b117-9ed0eb1361c2&xptdk=10914e5a-4073-4647-b117-9ed0eb1361c2,YSL,,"商品規格分類蝦皮購物美妝保養香水、香氛品牌YVESSAINTLAURENT聖羅蘭性別女性香水濃度EDT、淡香水質地噴霧商品數量14出貨地臺北市大同區商品詳情前味:佛手柑,紅伶薰衣草,梨子,蘋果,柑橘","中味:摩洛哥橙花,白茶,鈴蘭,茉莉","後味:龍涎香,麝香,馬達加斯加香草"
【YSL 聖羅蘭 全系列】自由不羈 MON PARIS 慾望巴黎  天之驕子 黑鴉片 Y 巴黎淑女 全新 試管香水加價購$110 - $170已售出 13臺中市北區找相似,https://shopee.tw/【YSL-聖羅蘭-全系列】自由不羈-MON-PARIS-慾望巴黎-天之驕子-黑鴉片-Y-巴黎淑女-全新-試管香水-i.643856.14773846733?sp_atk=9ddf89ac-72aa-491f-92c7-8fdb9393bac9&xptdk=9ddf89ac-72aa-491f-92c7-8fdb9393bac9,YSL,香調:木質馥奇香調,前調:香檸檬醛生薑,中調:紫羅蘭葉鼠尾草老鸛草,後調:麝香龍涎香焚香冷杉雪松
蝦皮優選☆LUXY SHOP ☆YSL系列~YSL 聖羅蘭~ YSL LE PARFUM 天之驕子蔚藍男性淡香精$85已售出 7新北市新莊區找相似,https://shopee.tw/☆LUXY-SHOP-☆YSL系列~YSL-聖羅蘭~-YSL-LE-PARFUM-天之驕子蔚藍男性淡香精-i.80009874.14745355091?sp_atk=d7706c5a-d490-49f7-b5ef-8c41299e4262&xptdk=d7706c5a-d490-49f7-b5ef-8c41299e4262,YSL,香調:木質調,前味:豆蔻、檸檬、臭氧元素,中味:天竺葵、紫羅蘭、羅勒,後味:琥珀木、雪松精油、香根草
"5.4折YSL 自由不羈女性淡香精 30ML 現貨 廠商直送滿額折$220$3,500$1,899已售出 3桃園市楊梅區找相似",https://shopee.tw/YSL-自由不羈女性淡香精-30ML-現貨-廠商直送-i.116304162.14339958372?sp_atk=1587ead4-5ea4-41e9-a95e-4e5c78d97f99&xptdk=1587ead4-5ea4-41e9-a95e-4e5c78d97f99,YSL,香調:東方花香調,前調:柑橘、薰衣草、黑醋栗、苦橙葉,中調:茉莉、橙花、薰衣草,後調:雪松、龍涎香、麝香、香草
"蝦皮優選香親香愛～YSL 聖羅蘭 Y 男性淡香精 100/60ml, Yves Saint Laurent$2,088已售出 24臺北市大同區找相似",https://shopee.tw/香親香愛～YSL-聖羅蘭-Y-男性淡香精-100-60ml-Yves-Saint-Laurent-i.1285345.4623697162?sp_atk=9c6b9749-8f63-451a-950a-a8f86cbb670d&xptdk=9c6b9749-8f63-451a-950a-a8f86cbb670d,YSL,香調:木質香調,"前味:香檸檬,醛,生薑","中味:紫羅蘭葉,鼠尾草,老鸛草","後味:麝香,龍涎香,焚香,冷杉,雪松"
"YSL 聖羅蘭 La Nuit De L'Homme Eau Electrique 天之驕子搖滾男性淡香水 60ML滿額折$300$1,639高雄市新興區找相似",https://shopee.tw/YSL-聖羅蘭-La-Nuit-De-L'Homme-Eau-Electrique-天之驕子搖滾男性淡香水-60ML-i.11003780.3276984189?sp_atk=25385b0a-a2ce-481e-9fc8-1f09f55e002a&xptdk=25385b0a-a2ce-481e-9fc8-1f09f55e002a,YSL,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌YVESSAINTLAURENT聖羅蘭性別男性香水濃度EDT、淡香水質地噴霧商品數量2出貨地高雄市新興區商品詳情香調:東方清新調、辛辣調,前味:柑橘、檸檬、青蘋果,中味:薰衣草、天竺葵、鼠尾草、橙花,後味:香草、雪松、東加香豆、香根草、廣藿香、羊絨
蝦皮優選《試香》YSL Libre 自由不羈/自由之香女性淡香精 試香紙$70 - $280已售出 46新北市汐止區找相似,https://shopee.tw/《試香》YSL-Libre-自由不羈-自由之香女性淡香精-試香紙-i.1559866.6540135379?sp_atk=ea431036-983a-4dc7-b4bf-5e11e2d1a346&xptdk=ea431036-983a-4dc7-b4bf-5e11e2d1a346,YSL,香調:東方馥奇香調,"前味:柑橘,薰衣草,黑醋栗,苦橙葉","中味:茉莉,橙花,薰衣草","後味:雪松,龍涎香,麝香,香草"
"7.2折YSL LIBRE 自由不羈淡香水(50ml)【美麗購】滿額折$30$3,960$2,850已售出 1苗栗縣後龍鎮找相似",https://shopee.tw/YSL-LIBRE-自由不羈淡香水(50ml)【美麗購】-i.10594066.12205034364?sp_atk=74389cff-3b05-45ac-a0eb-7d94e0d0d4a8&xptdk=74389cff-3b05-45ac-a0eb-7d94e0d0d4a8,YSL,,前味:柑橘、薰衣草、黑醋栗、苦橙葉,中味:橙花、茉莉、薰衣草,後味:雪松、龍涎香、麝香、香草
"廣告專櫃正品（免運+發票）Miss 甜心小姐 Blooming Bouque花漾甜心 女性淡香水 100ml2 件 9.5折$970 - $1,100已售出 35桃園市大園區找相似",https://shopee.tw/專櫃正品（免運-發票）Miss-甜心小姐-Blooming-Bouque花漾甜心-女性淡香水-100ml-i.36430610.16145103956?sp_atk=49a2fc3e-61e4-4278-8b03-68f2f0b652a4&xptdk=49a2fc3e-61e4-4278-8b03-68f2f0b652a4,YSL,,前調:黑醋栗佛手柑桃子,中調:天竺葵鈴蘭小蒼蘭,後調:檀香麝香琥珀
