title,link,note,top_note,heart_note,base_note
5折廣告精美香水套裝 淡香持久女士香水 禮盒套裝香水 女士香水禮物 香水 清新自然 女人味 性感香水 魅惑 生日禮物 情人節禮物滿額贈$399$199已售出 22新北市汐止區找相似,https://shopee.tw//精美香水套裝-淡香持久女士香水-禮盒套裝香水-女士香水禮物-香水-清新自然-女人味-性感香水-魅惑-生日禮物-情人節禮物-i.130047900.13678881287?sp_atk=2f478b8f-cbe7-4142-a57c-ce77558a503d&xptdk=2f478b8f-cbe7-4142-a57c-ce77558a503d,,前調:茉莉,中調:玫瑰、桃子,後調:廣藿香、琥珀
"HUAHUA香水美妝 Burberry 粉紅風格 Brit Sheer 50 100ML【全新正品】$890 - $1,050已售出 378臺北市中山區找相似",https://shopee.tw//HUAHUA香水美妝-Burberry-粉紅風格-Brit-Sheer-50-100ML【全新正品】-i.935762.30015658?sp_atk=6bf29520-3931-4c3e-bb3f-03c06482ca7b&xptdk=6bf29520-3931-4c3e-bb3f-03c06482ca7b,商品規格分類蝦皮購物美妝保養香水、香氛品牌BURBERRY博柏利性別女性質地噴霧商品數量10出貨地臺北市中山區商品詳情香調:清新花果香調,"前味:鳳梨葉,柚子,柑橘,葡萄,荔枝","中味:粉紅牡丹,桃花,梨子","後味:白木,白麝香"
"Burberry Brit Sheer粉紅風格女性淡香水100ml$1,780已售出 1新北市新店區找相似",https://shopee.tw//Burberry-Brit-Sheer粉紅風格女性淡香水100ml-i.5485615.16573014940?sp_atk=4f214338-f623-4687-96f0-0bdf9b414076&xptdk=4f214338-f623-4687-96f0-0bdf9b414076,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌BURBERRY博柏利性別女性香水濃度EDT、淡香水質地噴霧商品數量0出貨地新北市新店區商品詳情BurberryBritSheer粉紅風格女性淡香水100ml香調:花果清新調,前味:鳳梨葉、柚子、柑橘、葡萄、荔枝,中味:粉紅牡丹、桃花、梨子,後味:白木、白麝香
"Burberry Brit Sheer粉紅風格女性淡香水30ml$1,080已售出 81新北市新店區找相似",https://shopee.tw//Burberry-Brit-Sheer粉紅風格女性淡香水30ml-i.5485615.3843351404?sp_atk=ec081421-5ceb-4e82-a61d-91794c22cdb0&xptdk=ec081421-5ceb-4e82-a61d-91794c22cdb0,香調:花果清新調,前味:鳳梨葉、柚子、柑橘、葡萄、荔枝,中味:粉紅牡丹、桃花、梨子,後味:白木、白麝香
"蝦皮優選香親香愛～Burberry 清甜裸紗女性淡香水 85//60/35ml, Body Tender$1,238已售出 80臺北市大同區找相似",https://shopee.tw//香親香愛～Burberry-清甜裸紗女性淡香水-85-60-35ml-Body-Tender-i.1285345.342821796?sp_atk=ca06d79a-a34d-48fb-8643-1615fbb24ef5&xptdk=ca06d79a-a34d-48fb-8643-1615fbb24ef5,商品規格分類蝦皮購物美妝保養香水、香氛品牌BURBERRY博柏利性別女性香水濃度EDT、淡香水質地噴霧商品數量2出貨地臺北市大同區商品詳情香調:清新花果香調,"前味:檸檬,蘋果,清新苦艾酒","中味:玫瑰,白茉莉,檀香","後味:木質喀什米爾,琥珀,麝香"
『☆AYP香氛賣場☆』Burberry Brit 風格女性淡香水50/100ML/TESTER$780已售出 3找相似,https://shopee.tw//『☆AYP香氛賣場☆』Burberry-Brit-風格女性淡香水50-100ML-TESTER-i.614996899.15040317740?sp_atk=4e06dcdd-0ff2-4c63-8ab2-8e483d41b054&xptdk=4e06dcdd-0ff2-4c63-8ab2-8e483d41b054,香調:東方花香調,前味:義大利萊姆、杏仁、青綠扁桃仁,中味:甜杏仁、白牡丹,後味:桃花心木、琥珀、香草、頓加豆
❤️愛妮❤️Burberry Brit 風格 女性淡香水50ml /100ml/【TESTER包裝】✿$740 - $975已售出 85高雄市路竹區找相似,https://shopee.tw//❤️愛妮❤️Burberry-Brit-風格-女性淡香水50ml-100ml-【TESTER包裝】✿-i.48341460.1594310298?sp_atk=60e13875-2e22-4ac0-89ff-974a05d9f007&xptdk=60e13875-2e22-4ac0-89ff-974a05d9f007,,前味:杏仁、青綠扁桃仁、義大利萊姆,中味:白牡丹、甜杏仁,後味:香草、桃花心木、琥珀、頓加豆
"蝦皮優選2.8折BURBERRY 博柏利 TOUCH 接觸 男性淡香水 100ml TESTER 香水 香氛 男香 男性 淡香水滿額折$20$840 - $1,110已售出 8臺北市信義區找相似",https://shopee.tw//BURBERRY-博柏利-TOUCH-接觸-男性淡香水-100ml-TESTER-香水-香氛-男香-男性-淡香水-i.353375151.17505291036?sp_atk=7f3dac99-58f6-4198-b952-6beb2fd06b44&xptdk=7f3dac99-58f6-4198-b952-6beb2fd06b44,香調:木質清新調,前味:香橙、紫羅蘭,中味:豆蔻、白胡椒,後味:橡樹、檀木
"蝦皮優選【正品保證】 BURBERRY Weekend 週末 男性淡香水 100ML 另有 TESTER  【柒陸商店】$840 - $1,169已售出 16新北市板橋區找相似",https://shopee.tw//【正品保證】-BURBERRY-Weekend-週末-男性淡香水-100ML-另有-TESTER-【柒陸商店】-i.25407069.315527628?sp_atk=bea23e10-a9fd-4156-910a-e0e0b0db1b59&xptdk=bea23e10-a9fd-4156-910a-e0e0b0db1b59,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌BURBERRY博柏利性別男性香水濃度EDT、淡香水質地噴霧商品數量2出貨地新北市板橋區商品詳情香調:清新花果香調,前味:西瓜、東方柑橘、葡萄柚、鳳梨、橘子、檸檬,中味:橡木苔、檀香、檀香木,後味:琥珀、蜂蜜、麝香
"蝦皮優選香親香愛～Burberry 裸紗女性淡香水 4.5ml, Body EDT$199已售出 4臺北市大同區找相似",https://shopee.tw//香親香愛～Burberry-裸紗女性淡香水-4.5ml-Body-EDT-i.1285345.11838366162?sp_atk=09cc2b2d-89b5-4fac-bc55-41580f4e621c&xptdk=09cc2b2d-89b5-4fac-bc55-41580f4e621c,商品規格分類蝦皮購物美妝保健香水、香氛精油、試管小香與其他品牌BURBERRY博柏利性別女性香水濃度EDT、淡香水質地其他商品數量1出貨地臺北市大同區商品詳情香調:木質花香調,"前味:青蘋果,綠色苦艾酒,金色蜜桃","中味:茶,玫瑰,鳶尾花,西洋杉","後味:木質喀什米爾,奶油香草,琥珀,麝香"
