title,link,search_term,note,top_note,heart_note,base_note
"蝦皮優選【正品保證】 Elizaeth Arden Green Tea 雅頓綠茶中性淡香水 30ML 50ML 100ml$459已售出 1,480新北市板橋區找相似",https://shopee.tw/【正品保證】-Elizaeth-Arden-Green-Tea-雅頓綠茶中性淡香水-30ML-50ML-100ml-i.25407069.314123621?sp_atk=7f163fd4-e9a8-4557-bf4e-a0b24dc856f7&xptdk=7f163fd4-e9a8-4557-bf4e-a0b24dc856f7,Elizabeth Arden,商品規格分類蝦皮購物美妝保養香水、香氛品牌ELIZABETHARDEN伊莉莎伯雅頓性別男女通用香水濃度EDT、淡香水質地噴霧商品數量30出貨地新北市板橋區商品詳情香調:清新花香調,前味:大黃、佛手柑、葛縛子、橙皮、檸檬,中味:茉莉、茴香、康乃馨、綠茶、薄荷,後味:白琥珀、樺樹苔、麝香
Elizabeth Arden雅頓 系列 綠茶 薰衣草 梨花 小黃瓜 柚子 蓮花 石榴 含羞草 無花果 甜桃 愛分享分裝$10 - $45已售出 143高雄市三民區找相似,https://shopee.tw/Elizabeth-Arden雅頓-系列-綠茶-薰衣草-梨花-小黃瓜-柚子-蓮花-石榴-含羞草-無花果-甜桃-愛分享分裝-i.2468798.15167681775?sp_atk=6d157d7c-599f-416d-84dd-65815b9d0dc3&xptdk=6d157d7c-599f-416d-84dd-65815b9d0dc3,Elizabeth Arden,香調:草香清新調、茶香清新調,"前味:佛手柑、檸檬、橘子、橙樹,綠茶、甜杏仁",中味:櫻花、牡丹、杏桃、烏梅、綠茶葉,"後味:樺木、清透苔蘚、麝香,輕柔的纈草花、白百合"
現貨免運💖Elizabeth arden伊麗莎白雅頓 綠茶&櫻花&薰衣草 淡香水30ml 伊莉莎白 雅頓 香水 綠茶香水多件優惠$299已售出 444高雄市楠梓區找相似,https://shopee.tw/現貨免運💖Elizabeth-arden伊麗莎白雅頓-綠茶-櫻花-薰衣草-淡香水30ml-伊莉莎白-雅頓-香水-綠茶香水-i.8358314.5007583744?sp_atk=cfea2c7a-9933-4d25-9e2b-ba7e9592ddff&xptdk=cfea2c7a-9933-4d25-9e2b-ba7e9592ddff,Elizabeth Arden,,"前調:柑橘綠茶香:佛手柑、檸檬、橘子、橙樹,綠茶、甜杏仁",中調:櫻花芳香:櫻花、牡丹、杏桃、烏梅、綠茶葉,"後調:輕甜木質香:白樺木、清透苔蘚、麝香,輕柔的纈草花、白百合"
『山姆百貨』ARDEN 雅頓 綠茶淡香水 100ml 小黃瓜 櫻花 甜桃 蓮花 石榴 含羞草 無花果 薰衣草$388 - $419已售出 969臺北市大同區找相似,https://shopee.tw/『山姆百貨』ARDEN-雅頓-綠茶淡香水-100ml-小黃瓜-櫻花-甜桃-蓮花-石榴-含羞草-無花果-薰衣草-i.861145.13430336?sp_atk=4a8eea3a-e470-4458-8743-eb77b7b69aee&xptdk=4a8eea3a-e470-4458-8743-eb77b7b69aee,Elizabeth Arden,香調:草香清新調、茶香清新調,前調:安茹梨、義大利佛手柑精萃、西西里檸檬精萃,中調:安茹梨花、印度沙巴茉莉精萃、綠茶霧氣、巴拉圭馬黛茶精萃,後調:麝香、琥珀、白苔
伊莉莎伯雅頓綠茶噴式香水100ML$400宜蘭縣礁溪鄉找相似,https://shopee.tw/伊莉莎伯雅頓綠茶噴式香水100ML-i.13478339.21124791835?sp_atk=daef0a4c-9203-4b1d-adb5-969cb9638854&xptdk=daef0a4c-9203-4b1d-adb5-969cb9638854,Elizabeth Arden,商品規格分類蝦皮購物美妝保養香水、香氛品牌ELIZABETHARDEN伊莉莎伯雅頓性別男女通用香水濃度EDP、香水質地噴霧每組數量1商品數量1出貨地宜蘭縣礁溪鄉商品詳情香調:清新花香調,前味:大黃、佛手柑、葛縛子、橙皮、檸檬,中味:茉莉、茴香、康乃馨、綠茶、薄荷,後味:白琥珀、樺樹苔、麝香
Elizabeth Arden 伊莉莎白雅頓  綠茶甜桃女性淡香水 100ml  Vivo薇朵滿額折$100$499已售出 7臺北市大安區找相似,https://shopee.tw/Elizabeth-Arden-伊莉莎白雅頓-綠茶甜桃女性淡香水-100ml-Vivo薇朵-i.22056733.776195482?sp_atk=1f1cf521-82ac-4505-8665-9c00c966b53b&xptdk=1f1cf521-82ac-4505-8665-9c00c966b53b,Elizabeth Arden,,前味:桃子佛手柑、熱帶水果,中味:甜桃、桃花,後味:麝香
【魔力】Elizabeth Arden雅頓 綠茶蓮花 櫻花 薰衣草 夏日 柚子 淡香水 100ML$385已售出 13臺北市中正區找相似,https://shopee.tw/【魔力】Elizabeth-Arden雅頓-綠茶蓮花-櫻花-薰衣草-夏日-柚子-淡香水-100ML-i.254299890.9882404987?sp_atk=de5ae9b0-d12f-4a23-8859-81cffd608521&xptdk=de5ae9b0-d12f-4a23-8859-81cffd608521,Elizabeth Arden,,前味:柚皮、佛手柑、檸檬、綠茶霧氣、苦橙葉,中味:柚子果肉、野生百里香、綠薄荷、黑醋栗牙、綠茶葉、突尼西亞橙花,後味:麝香、白樺木、黃葵籽
Elizabeth Arden 伊莉莎白雅頓 綠茶香水(100ml)【小三美日】空運禁送 D268848滿額折$40$498已售出 121彰化縣鹿港鎮找相似,https://shopee.tw/Elizabeth-Arden-伊莉莎白雅頓-綠茶香水(100ml)【小三美日】空運禁送-D268848-i.11527054.100065051?sp_atk=a7e6a282-a75e-4289-9be1-07c7343e33a2&xptdk=a7e6a282-a75e-4289-9be1-07c7343e33a2,Elizabeth Arden,香調:清新花香調,前味:大黃、佛手柑、葛縛子、橙皮、檸檬,中味:茉莉、茴香、康乃馨、綠茶、薄荷,後味:白琥珀、樺樹苔、麝香
蝦皮優選~歐巴&歐尼~Elizabeth Arden 雅頓 綠茶石榴限量淡香水 100ml$399已售出 42新北市三重區找相似,https://shopee.tw/~歐巴-歐尼~Elizabeth-Arden-雅頓-綠茶石榴限量淡香水-100ml-i.7520398.3600347195?sp_atk=852dd3f1-9b4f-446f-8b7f-ab816d9ed7cf&xptdk=852dd3f1-9b4f-446f-8b7f-ab816d9ed7cf,Elizabeth Arden,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精香水濃度EDT、淡香水質地噴霧商品數量3出貨地新北市三重區商品詳情香調:茶香清新調、花果清新調,前味:紅石榴、百香果、佛手柑、加州橘柚,中味:伯爵茶、白蘭花、紫羅蘭葉、印蒿精油,後味:馬黛茶、覆盆莓花、白苔、白麝香
蝦皮優選香妮💋Elizabeth Arden 伊麗莎白雅頓 白茶花綻野玫瑰 香水 50ml/ 100ml/ tester$750 - $880已售出 29高雄市路竹區找相似,https://shopee.tw/香妮💋Elizabeth-Arden-伊麗莎白雅頓-白茶花綻野玫瑰-香水-50ml-100ml-tester-i.131326797.5263557375?sp_atk=d8430f12-f1a5-47b6-9796-fad93ee3e546&xptdk=d8430f12-f1a5-47b6-9796-fad93ee3e546,Elizabeth Arden,,商品規格分類蝦皮購物美妝保養香水、香氛品牌ELIZABETHARDEN伊莉莎伯雅頓香水濃度EDP、香水質地噴霧商品數量182出貨地高雄市路竹區商品詳情前調:白茶、梨樹花、紅醋栗、玫瑰草,中調:保加利亞玫瑰、土耳其玫瑰、胭脂牡丹、快樂鼠尾草,後調:純淨琥珀、溫暖麝香、巴拉圭瑪黛茶、東加豆
