title,link,search_term,note,top_note,heart_note,base_note
"蝦皮優選☆YOYO小棧☆ BOUCHERON 伯瓊 Quatre 經典環戒 女性淡香精(公司貨)$1,599已售出 15臺北市萬華區找相似",https://shopee.tw//☆YOYO小棧☆-BOUCHERON-伯瓊-Quatre-經典環戒-女性淡香精(公司貨)-i.2921966.5118995080?sp_atk=a734ac72-af66-4863-bbc9-7a28e4c5dce3&xptdk=a734ac72-af66-4863-bbc9-7a28e4c5dce3,Boucheron,,前味:苦橙精華、巴西綠柑橘精華、紅醋栗、野草莓,中味:茉莉花、玫瑰、Petalia,後味:黃金木、雪松、喀什米爾、麝香後味:桂花、廣藿香、麝香
"BOUCHERON 伯瓊 環戒淡香精100ml專櫃公司貨保存期限2024年6月附發票 Boucheron Quatre$999 - $1,999已售出 18高雄市前鎮區找相似",https://shopee.tw//BOUCHERON-伯瓊-環戒淡香精100ml專櫃公司貨保存期限2024年6月附發票-Boucheron-Quatre-i.24824087.7145173230?sp_atk=5c887626-af12-424e-b96f-8d572031ba7c&xptdk=5c887626-af12-424e-b96f-8d572031ba7c,Boucheron,,前調:苦橙精華、巴西綠柑橘精華、紅醋栗、野草莓,中調:茉莉花、玫瑰、Petalia,後調:黃金木、雪松、喀什米爾、麝香
Boucheron Quatre 伯瓊經典環戒男性淡香水 50ML / 100ML 【TESTER】/ 體香膏滿額折$10$490已售出 2高雄市新興區找相似,https://shopee.tw//Boucheron-Quatre-伯瓊經典環戒男性淡香水-50ML-100ML-【TESTER】-體香膏-i.11003780.7234517069?sp_atk=405c6d1e-f2a3-4a3b-affa-1223f23d6c49&xptdk=405c6d1e-f2a3-4a3b-affa-1223f23d6c49,Boucheron,,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌BOUCHERON伯敻性別男性香水濃度EDT、淡香水質地噴霧商品數量3出貨地高雄市新興區商品詳情前調:酸橙、紫羅蘭葉、麝香,中調:薰衣草、艾草,後調:廣藿香、薔薇
"蝦皮優選【公司貨】璀璨波希淡香精 BOUCHERON | 達菲斯香水 美材$880 - $1,580已售出 7臺中市南區找相似",https://shopee.tw//【公司貨】璀璨波希淡香精-BOUCHERON-達菲斯香水-美材-i.352300614.8765897001?sp_atk=a6648e51-5f47-47b8-a77d-05ab3c0c1859&xptdk=a6648e51-5f47-47b8-a77d-05ab3c0c1859,Boucheron,,前味:柑橘.黑醋栗,中味:土耳其玫瑰.沙漠玫瑰.雙瓣茉莉,後味:白麝香.廣藿香.檀香
"BOUCHERON 伯瓊同名女性淡香精 50ml$1,280已售出 1新北市新店區找相似",https://shopee.tw//BOUCHERON-伯瓊同名女性淡香精-50ml-i.5485615.17369260248?sp_atk=5546b59e-2ea8-4233-b65c-a6e3f5ee9531&xptdk=5546b59e-2ea8-4233-b65c-a6e3f5ee9531,Boucheron,,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌BOUCHERON伯敻性別女性質地噴霧商品數量10出貨地新北市新店區商品詳情BOUCHERON伯瓊同名女性淡香精50ml前調:橙花,中調:茉莉、晚香玉、依蘭,後調:檀香木、香草
"蝦皮優選~歐巴&歐尼~Boucheron 伯瓊環戒系列女性淡香精 100ml TESTER$1,199已售出 3新北市三重區找相似",https://shopee.tw//~歐巴-歐尼~Boucheron-伯瓊環戒系列女性淡香精-100ml-TESTER-i.7520398.16846185012?sp_atk=2a43f569-4465-4bde-bc16-855c5ea6a5de&xptdk=2a43f569-4465-4bde-bc16-855c5ea6a5de,Boucheron,香調:玫瑰花香調,前味:印蒿、黑醋栗、柑橘,中味:保加利亞玫瑰、茉莉、桃花,後味:廣藿香、香根草、麝香
新品到倉囉🔥🔥BOUCHERON伯瓊 蔚藍環戒淡香精 針管2ML$59已售出 24高雄市左營區找相似,https://shopee.tw//新品到倉囉🔥🔥BOUCHERON伯瓊-蔚藍環戒淡香精-針管2ML-i.192290655.6092748041?sp_atk=7550c62e-c91c-4057-8577-9e028bb67539&xptdk=7550c62e-c91c-4057-8577-9e028bb67539,Boucheron,,-前調:枸櫞油、佛手柑,中調:晚香玉、玫瑰精粹、埃及茉莉精粹,後調:檀香木、麝香
"7折廣告♡今日下單♡全場7折Moonshot 權誌龍GD 中性香水女士男士香水 限量高檔 香味持久 50ML 男女通用 持久留香$1,350$945已售出 2臺南市中西區找相似",https://shopee.tw//♡今日下單♡全場7折Moonshot-權誌龍GD-中性香水女士男士香水-限量高檔-香味持久-50ML-男女通用-持久留香-i.256446296.20823689256?sp_atk=92d9fa14-e7f5-406a-87f0-44cef8844257&xptdk=92d9fa14-e7f5-406a-87f0-44cef8844257,Boucheron,,前調:檸檬柑橘葡萄柚雪鬆,中調:鼠尾草海藻茉莉竹子,後調:琥珀雪鬆麝香廣藿香
"蝦皮優選☆MOMO小屋☆ BOUCHERON 伯瓊 絢光 女性淡香水 100ml TESTER 白盒有蓋$1,790已售出 1臺北市萬華區找相似",https://shopee.tw//☆MOMO小屋☆-BOUCHERON-伯瓊-絢光-女性淡香水-100ml-TESTER-白盒有蓋-i.2919063.7199434?sp_atk=ccf5f664-b509-47ce-9541-c8528663c9d2&xptdk=ccf5f664-b509-47ce-9541-c8528663c9d2,Boucheron,,前調:柚子、桂花,中調:茉莉花瓣、玫瑰,後調:雪松、白麝香
★駿盛★ BOUCHERON 伯瓊 經典環戒 / 璀璨波希 小香水$250嘉義市西區找相似,https://shopee.tw//★駿盛★-BOUCHERON-伯瓊-經典環戒-璀璨波希-小香水-i.235062601.9876430219?sp_atk=3449e457-4ec7-461d-ad50-d5515f899748&xptdk=3449e457-4ec7-461d-ad50-d5515f899748,Boucheron,香調:東方花香調、柑苔調,前味:柑橘、黑醋栗,中味:土耳其玫瑰、沙漠玫瑰、雙瓣茉莉,後味:白麝香、廣藿香、檀香
