title,link,note,top_note,heart_note,base_note
❤️愛妮❤️Banana Republic Classic 香蕉共和國 經典傳奇 中性淡香水 125ml$810已售出 21高雄市路竹區找相似,https://shopee.tw//❤️愛妮❤️Banana-Republic-Classic-香蕉共和國-經典傳奇-中性淡香水-125ml-i.48341460.2248283238?sp_atk=5db463e8-bdbf-4b23-88a5-edff7e43fd9e&xptdk=5db463e8-bdbf-4b23-88a5-edff7e43fd9e,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌BANANAREPUBLIC性別男女通用香水濃度EDT、淡香水質地噴霧商品數量175出貨地高雄市路竹區商品詳情香調:清新柑橘調,前味:佛手柑、柑橘、葡萄柚,中味:鼠尾草、薑根、薰衣草,後味:木質香、香柏木、麝香
【超激敗】Banana Republic  香蕉共和國 新 傳奇經典 淡香水 125ML Classic$939已售出 42臺北市大同區找相似,https://shopee.tw//【超激敗】Banana-Republic-香蕉共和國-新-傳奇經典-淡香水-125ML-Classic-i.4884871.2294000924?sp_atk=6455aa1d-90cc-4a21-ae4a-52e01d2106d0&xptdk=6455aa1d-90cc-4a21-ae4a-52e01d2106d0,香調:柑橘清新調,前味:柑橘、葡萄柚、佛手柑,中味:鼠尾草、薑根、薰衣草,後味:麝香、香柏木、木質香
蝦皮優選《試香》香蕉共和國 6號黑鉑金/17號烏木/83號皮革珍藏/90號純白/柏樹/亞麻香根草 中性淡香精 試香紙$45 - $140已售出 142新北市汐止區找相似,https://shopee.tw//《試香》香蕉共和國-6號黑鉑金-17號烏木-83號皮革珍藏-90號純白-柏樹-亞麻香根草-中性淡香精-試香紙-i.1559866.5935227038?sp_atk=fb5786df-dedf-4fda-9287-a76bab1c74c7&xptdk=fb5786df-dedf-4fda-9287-a76bab1c74c7,香調:木質芳香香調,"前味:佛手柑,苦橙葉,豆蔻","中味:鳶尾花,風信子,水茉莉","後味:香根草,琥珀結晶,麝香,橡苔"
蝦皮優選~歐巴&歐尼~Banana Republic Classic 香蕉共和國經典傳奇中性淡香水 125ml$850 - $899已售出 5新北市三重區找相似,https://shopee.tw//~歐巴-歐尼~Banana-Republic-Classic-香蕉共和國經典傳奇中性淡香水-125ml-i.7520398.6706671798?sp_atk=7cc8e774-f6b3-4d6c-bde6-e4a5b063c77e&xptdk=7cc8e774-f6b3-4d6c-bde6-e4a5b063c77e,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精性別男女通用香水濃度EDT、淡香水質地噴霧商品數量4出貨地新北市三重區商品詳情香調:柑橘清新調,前味:柑橘、葡萄柚、佛手柑,中味:鼠尾草、薑根、薰衣草,後味:麝香、香柏木、木質香
分香閣Banana Republic香蕉共和國亞麻香根草中性淡香精 分享瓶分裝瓶小ml小香試管針管$35 - $100已售出 14花蓮縣花蓮市找相似,https://shopee.tw//分香閣Banana-Republic香蕉共和國亞麻香根草中性淡香精-分享瓶分裝瓶小ml小香試管針管-i.630102045.15325543660?sp_atk=1c0212e1-3f55-42ab-aeb0-3dec979c5701&xptdk=1c0212e1-3f55-42ab-aeb0-3dec979c5701,,"前味:佛手柑,苦橙葉,豆蔻","中味:鳶尾花,風信子,水茉莉","後味:香根草,琥珀結晶,麝香,橡苔"
【超激敗】BANANA REPUBLIC 香蕉共和國 黑胡桃木 男性淡香水 100ML Black Walnut$879已售出 2臺北市大同區找相似,https://shopee.tw//【超激敗】BANANA-REPUBLIC-香蕉共和國-黑胡桃木-男性淡香水-100ML-Black-Walnut-i.4884871.12131869327?sp_atk=31018301-14cd-4732-b887-408c43feab74&xptdk=31018301-14cd-4732-b887-408c43feab74,,前味:冰川柑橘水、克萊門柑橘香、綠薄荷葉,中味:菸草花、鼠尾草、肉豆蔻,後味:桃花心木、薑根、葡萄皮
廣告分香閣Banana Republic香蕉共和國亞麻香根草中性淡香精 分享瓶分裝瓶小ml小香試管針管$35 - $100已售出 14花蓮縣花蓮市找相似,https://shopee.tw//分香閣Banana-Republic香蕉共和國亞麻香根草中性淡香精-分享瓶分裝瓶小ml小香試管針管-i.630102045.15325543660?sp_atk=7a13194f-35f5-41d0-a148-960d660082df&xptdk=7a13194f-35f5-41d0-a148-960d660082df,,"前味:佛手柑,苦橙葉,豆蔻","中味:鳶尾花,風信子,水茉莉","後味:香根草,琥珀結晶,麝香,橡苔"
"BANANA REPUBLIC 香蕉共和 孔雀石女性淡香精 100ML/TESTER◆NANA◆$999 - $1,099臺北市大同區找相似",https://shopee.tw//BANANA-REPUBLIC-香蕉共和-孔雀石女性淡香精-100ML-TESTER◆NANA◆-i.357737.1971058144?sp_atk=327cf738-cfe2-4553-98fc-ba8e139ec5e5&xptdk=327cf738-cfe2-4553-98fc-ba8e139ec5e5,商品規格分類蝦皮購物美妝保養香水、香氛品牌BANANAREPUBLIC性別女性質地噴霧商品數量20出貨地臺北市大同區商品詳情香調:東方花香調,前味:香水百合、胡椒、芒果青,中味:冬梨、薔薇、康乃馨、牡丹,後味:檀香、香草、麝香
"香水💕💕 Banana Republic NOIR 紳夜藍調男性香水 100ml$2,300已售出 1高雄市新興區找相似",https://shopee.tw//香水💕💕-Banana-Republic-NOIR-紳夜藍調男性香水-100ml-i.190487112.5020790282?sp_atk=519bb95d-8713-4c2a-b60f-225b1f4c199f&xptdk=519bb95d-8713-4c2a-b60f-225b1f4c199f,,商品規格分類蝦皮購物美妝保養香水、香氛品牌BANANAREPUBLIC性別男性香水濃度EDP、香水質地噴霧商品數量1出貨地高雄市新興區商品詳情前調:清新水感、草本植物,中調:馥奇香、香料,後調:香根草、麝香、新鮮咖啡豆、金色麂皮、皮革、黑巧克力
"波妮香水♥ Banana Republic 香蕉共和國 盛放時芬 嫣花 女性淡香精 100ml$1,250新北市新店區找相似",https://shopee.tw//波妮香水♥-Banana-Republic-香蕉共和國-盛放時芬-嫣花-女性淡香精-100ml-i.81930378.1827824786?sp_atk=68b0d4f4-93e3-4570-be8a-a00b0010fb84&xptdk=68b0d4f4-93e3-4570-be8a-a00b0010fb84,,商品規格分類蝦皮購物美妝保養香水、香氛品牌BANANAREPUBLIC性別女性香水濃度EDP、香水商品數量50出貨地新北市新店區商品詳情前調:青蘋果、佛手柑、新鮮小柑橘、番石榴、梅子,中調:木蘭花、小蒼蘭花瓣、茉莉花、水繡球,後調:琥珀、麝香、檀香
"【BANANA REPUBLIC 香蕉共和國】SLATE 清新 男性淡香水(100ml)$1,080臺北市內湖區找相似",https://shopee.tw//【BANANA-REPUBLIC-香蕉共和國】SLATE-清新-男性淡香水(100ml)-i.401228938.10846607202?sp_atk=999726fd-369e-45fe-806d-5265903c349d&xptdk=999726fd-369e-45fe-806d-5265903c349d,香調:東方清新調,前味:小荳蔻、黑胡椒、干邑白蘭地,中味:鼠尾草、肉豆蔻、菸草葉,後味:香柏木、麝香
"Banana Republic Cordovan 哥多文 ( 哥多華 ) 男性淡香水 100ML$1,200已售出 2高雄市三民區找相似",https://shopee.tw//Banana-Republic-Cordovan-哥多文-(-哥多華-)-男性淡香水-100ML-i.235864816.7323388755?sp_atk=130e160c-e1ce-4026-b697-7ac1ccf4c24e&xptdk=130e160c-e1ce-4026-b697-7ac1ccf4c24e,香調:時尚木質香調,前味:綠色無花果葉、佛手柑、肉豆蔻,中味:白色圓柏莓、冰鎮薰衣草、古老皮革香,後味:鳶尾、香根草根 
"廣告買一送一（正品免運）真我純香心悅 Jadore In Joy 女士淡香水 EDP淡香水 100ML滿額折$50$1,450 - $2,700已售出 44桃園市大園區找相似",https://shopee.tw//買一送一（正品免運）真我純香心悅-Jadore-In-Joy-女士淡香水-EDP淡香水-100ML-i.38534503.15271677846?sp_atk=acfa7081-8cad-4eba-ba15-be83068eea9d&xptdk=acfa7081-8cad-4eba-ba15-be83068eea9d,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精性別女性香水濃度EDT、淡香水質地噴霧商品數量214出貨地桃園市大園區商品詳情香調:花香調,前調:柑橘橘子橙花油,中調:茉莉橙花依蘭晚香玉玫瑰,後調:木質香香草
