title,link,search_term,note,top_note,heart_note,base_note
蝦皮優選【Byredo】現貨秒發  卡片 香水 2ml  試管香水 百瑞德 小樣 超級雪松 花序 無人區玫瑰 淡香$70已售出 2.1萬臺中市北區找相似,https://shopee.tw/【Byredo】現貨秒發-卡片-香水-2ml-試管香水-百瑞德-小樣-超級雪松-花序-無人區玫瑰-淡香-i.5539906.5335618930?sp_atk=4db5e3ee-0e50-42b4-bf53-89cb2b64c017&xptdk=4db5e3ee-0e50-42b4-bf53-89cb2b64c017,BYREDO,香調:花香調,前調:歐白芷籽、西西里檸檬、越橘,中調:野生大花茉莉、露水晚香玉、玫瑰花瓣,後調:新鮮琥珀、麂絨
"【Byredo】百瑞德 無人之境 初生玫瑰 天際之間 德勒聖圖 反璞歸真 北國之春 莫哈維之影 夜幕玫瑰 COS分享滿額折$10加價購$179 - $429已售出 2,518臺北市中正區找相似",https://shopee.tw/【Byredo】百瑞德-無人之境-初生玫瑰-天際之間-德勒聖圖-反璞歸真-北國之春-莫哈維之影-夜幕玫瑰-COS分享-i.19351732.5952080746?sp_atk=6f8593ed-6c6c-4941-8550-4870b3e8829a&xptdk=6f8593ed-6c6c-4941-8550-4870b3e8829a,BYREDO,香調:橙花、非洲金盞花、茉莉、黑琥珀以及雪松。,前調:葡萄柚、小蒼蘭,中調:玫瑰,後調:樺木、紙莎草
"BYREDO 香水 莫哈維之影 春日花序 返璞歸真 淡香精 正品$5,000 - $7,200臺北市文山區找相似",https://shopee.tw/BYREDO-香水-莫哈維之影-春日花序-返璞歸真-淡香精-正品-i.196512666.14106306972?sp_atk=a527fba9-65df-4ac7-ba4b-07a7496c3918&xptdk=a527fba9-65df-4ac7-ba4b-07a7496c3918,BYREDO,香調:木質花香調,前味:紅玫瑰、小蒼蘭,中味:玉蘭花、鈴蘭,後味:茉莉
7.6折Byredo  懷舊書香 Bibliotheque  圖書館&舊書店的香氣$95 - $168已售出 16新北市五股區找相似,https://shopee.tw/Byredo-懷舊書香-Bibliotheque-圖書館-舊書店的香氣-i.379446124.15056669358?sp_atk=1fb163b7-b017-4c2a-ac8d-ad5612424b6e&xptdk=1fb163b7-b017-4c2a-ac8d-ad5612424b6e,BYREDO,,前調:桃子、李子,中調:牡丹、紫羅蘭,後調:皮革、香草、廣藿香
"BYREDO 百瑞德 返樸歸真/無人之境/吉普賽之水 旅行三件組  12ml*3  附贈提袋$499 - $2,380已售出 25彰化縣鹿港鎮找相似",https://shopee.tw/BYREDO-百瑞德-返樸歸真-無人之境-吉普賽之水-旅行三件組-12ml*3-附贈提袋-i.12335932.1174049720?sp_atk=82374de3-2a5f-4116-baa5-eba66af16a34&xptdk=82374de3-2a5f-4116-baa5-eba66af16a34,BYREDO,香調:粉紅胡椒、土耳其玫瑰花瓣、土耳其玫瑰原精、覆盆子花、紙莎草、白琥珀,前調:佛手柑、焚香,中調:松針葉、鳶尾草,後調:琥珀、香草
6.8折Byredo 香水小樣 拜裏朵 百瑞德香水 Q版10ml 無人區玫瑰 超級雪松 白色浪漫 非洲之旅 荒漠孤魂 圖書館$190$130已售出 3基隆市信義區找相似,https://shopee.tw/Byredo-香水小樣-拜裏朵-百瑞德香水-Q版10ml-無人區玫瑰-超級雪松-白色浪漫-非洲之旅-荒漠孤魂-圖書館-i.32995164.21917981774?sp_atk=92381bbb-cce1-4288-a73b-6b4c39b3d449&xptdk=92381bbb-cce1-4288-a73b-6b4c39b3d449,BYREDO,香調:辛辣木質調,前調:黑胡椒柚子,中調:大麻,後調:香根草綠檀木
"8.6折BYREDO 莫哈維之影淡香精 MOJAVE GHOST(50ml) EDP-香水航空版【美麗購】滿額折$30$5,000$4,299苗栗縣後龍鎮找相似",https://shopee.tw/BYREDO-莫哈維之影淡香精-MOJAVE-GHOST(50ml)-EDP-香水航空版【美麗購】-i.10594066.9170100755?sp_atk=217ece96-510a-45cb-b3bb-58b9683fb6f6&xptdk=217ece96-510a-45cb-b3bb-58b9683fb6f6,BYREDO,,前味:黃葵、人參果,中味:羅蘭、檀香木、木蘭,後味:龍涎香、雪松
7.8折廣告Byredo 香水小樣 拜裏朵/百瑞德 Q版10ml 無人區玫瑰 超級雪松 白色浪漫 非洲之旅 荒漠孤魂 圖書館$180$140已售出 310臺南市永康區找相似,https://shopee.tw/Byredo-香水小樣-拜裏朵-百瑞德-Q版10ml-無人區玫瑰-超級雪松-白色浪漫-非洲之旅-荒漠孤魂-圖書館-i.546277707.15767447776?sp_atk=6d52f3cb-df83-4878-9365-525cdbd8cd30&xptdk=6d52f3cb-df83-4878-9365-525cdbd8cd30,BYREDO,香調:辛辣木質調,前調:黑胡椒柚子,中調:大麻,後調:香根草綠檀木
"【K 韓國走走】 台灣專櫃貨 現貨 中標 BYREDO 返樸歸真 無人之境  EDP Blanche 50ml 附紙袋$4,490 - $6,490已售出 35臺中市大里區找相似",https://shopee.tw/【K-韓國走走】-台灣專櫃貨-現貨-中標-BYREDO-返樸歸真-無人之境-EDP-Blanche-50ml-附紙袋-i.9157617.5649822373?sp_atk=ac6b5395-e430-4b8b-a5eb-7be715b439cb&xptdk=ac6b5395-e430-4b8b-a5eb-7be715b439cb,BYREDO,,前調:粉紅胡椒、土耳其玫瑰花瓣,中調:覆盆子花、土耳其玫瑰原精,後調:紙莎草、白琥珀
Byredo Open Sky 天際之間淡香精 2021限量新香  試香$120 - $300已售出 17桃園市龜山區找相似,https://shopee.tw/Byredo-Open-Sky-天際之間淡香精-2021限量新香-試香-i.5558081.10221592048?sp_atk=980bb72e-0b60-4f55-a00a-32bb1f2af2c0&xptdk=980bb72e-0b60-4f55-a00a-32bb1f2af2c0,BYREDO,,前調:柚子、黑胡椒,中調:大麻葉,後調:聖壇木、岩蘭草
【查理正品試香2/5/10ml 】BYREDO BLANCHE 返璞歸真 香水$485 - $970已售出 8臺北市中山區找相似,https://shopee.tw/【查理正品試香2-5-10ml-】BYREDO-BLANCHE-返璞歸真-香水-i.2337131.13550112305?sp_atk=bcc8345e-b9fd-4d84-8d26-ae205929aa7d&xptdk=bcc8345e-b9fd-4d84-8d26-ae205929aa7d,BYREDO,香調:木質花香調,前味:白玫瑰、粉紅胡椒、醛,中味:紫羅蘭、橙花、牡丹,後味:檀香、麝香
廣告Byredo 香水 10ml 滴式 返璞歸真 無人之境 夜幕玫瑰 花序 郁金香 圖書館 莫哈維 超級雪松 北國之春 Q版6 件 9.4折$160已售出 346找相似,https://shopee.tw/Byredo-香水-10ml-滴式-返璞歸真-無人之境-夜幕玫瑰-花序-郁金香-圖書館-莫哈維-超級雪松-北國之春-Q版-i.13050886.15364962255?sp_atk=52412c95-6503-4051-a67b-7a0e34ae41bf&xptdk=52412c95-6503-4051-a67b-7a0e34ae41bf,BYREDO,香調:辛辣木質調,前調:黑胡椒柚子,中調:大麻,後調:香根草綠檀木
"廣告Byredo Rose Of No Man's Land無人之境中性淡香精 拜睿多玫瑰香調香水香精$7,200花蓮縣花蓮市找相似",https://shopee.tw/Byredo-Rose-Of-No-Man's-Land無人之境中性淡香精-拜睿多玫瑰香調香水香精-i.603888869.14075543089?sp_atk=754c9d93-c2c1-4f92-9bbd-29fa6d814d9b&xptdk=754c9d93-c2c1-4f92-9bbd-29fa6d814d9b,BYREDO,,前味:粉紅胡椒、紅玫瑰,中味:紅玫瑰、覆盆子,後味:紙莎草、琥珀
