title,link,search_term
"2.1折廣告【現貨】 小蒼蘭香水 香水100ml滿額折$22$1,886$398嘉義縣太保市找相似",https://shopee.tw//【現貨】-小蒼蘭香水-香水100ml-i.823985601.19130741587?sp_atk=aa1447de-31da-4e5f-aab4-b5dabc21ebcb&xptdk=aa1447de-31da-4e5f-aab4-b5dabc21ebcb,Karl Lagerfeld
"8折廣告【買一送一】 Miss花漾淡香水 女性淡香水 甜心小姐香水 濃香水 淡香水 女性香水 女香水 100ml$360 - $1,600已售出 66嘉義縣大埔鄉找相似",https://shopee.tw//【買一送一】-Miss花漾淡香水-女性淡香水-甜心小姐香水-濃香水-淡香水-女性香水-女香水-100ml-i.456790121.14685466525?sp_atk=3e63782e-9671-4029-a7c4-9838d84c05e6&xptdk=3e63782e-9671-4029-a7c4-9838d84c05e6,Karl Lagerfeld
"3折廣告專櫃正品 ✨買一送一 香水 女士香水 香水 淡香水 粉色邂逅香水 EDT 女香 香水 100ML滿額折$1002 件 5折$3,500$1,058桃園市蘆竹區找相似",https://shopee.tw//專櫃正品-✨買一送一-香水-女士香水-香水-淡香水-粉色邂逅香水-EDT-女香-香水-100ML-i.824005382.14190732375?sp_atk=b11d3df1-3a04-4fca-87f3-96fef4053992&xptdk=b11d3df1-3a04-4fca-87f3-96fef4053992,Karl Lagerfeld
"4折廣告❁買一送一❁JM馬-龍香水五件套 藍風鈴/英國梨/女生香水禮盒附帶專櫃提袋30ml/100ml 附帶專櫃提袋，不正包退2 件 5折$998 - $2,168已售出 172臺北市松山區找相似",https://shopee.tw//❁買一送一❁JM馬-龍香水五件套-藍風鈴-英國梨-女生香水禮盒附帶專櫃提袋30ml-100ml-附帶專櫃提袋，不正包退-i.97576140.21709208571?sp_atk=bb6294ce-21ce-4fca-b9b4-648f0f3037cf&xptdk=bb6294ce-21ce-4fca-b9b4-648f0f3037cf,Karl Lagerfeld
"2.1折廣告【現貨】蔚藍男性香水  EDT 淡香水 100ml滿額折$22$1,886$398嘉義縣太保市找相似",https://shopee.tw//【現貨】蔚藍男性香水-EDT-淡香水-100ml-i.823985601.20830946314?sp_atk=955a65c7-cfd8-4656-9783-9bc392d25233&xptdk=955a65c7-cfd8-4656-9783-9bc392d25233,Karl Lagerfeld
"Karl Lagerfeld 卡爾˙拉格斐 卡爾 同名時尚 女性淡香精  45ml/85ml/TESTER◆NANA◆$680 - $1,149已售出 27臺北市大同區找相似",https://shopee.tw//Karl-Lagerfeld-卡爾˙拉格斐-卡爾-同名時尚-女性淡香精-45ml-85ml-TESTER◆NANA◆-i.357737.6042905?sp_atk=1ae92442-ab2b-416d-8173-0ecce560ddef&xptdk=1ae92442-ab2b-416d-8173-0ecce560ddef,Karl Lagerfeld
"KARL LAGERFELD 卡爾 同名時尚 女性淡香精 85ml/45ML◐香水綁馬尾◐$899 - $1,149已售出 36臺北市大同區找相似",https://shopee.tw//KARL-LAGERFELD-卡爾-同名時尚-女性淡香精-85ml-45ML◐香水綁馬尾◐-i.2002627.1420816824?sp_atk=415ecd64-c543-4ff3-b0c8-cb3f1e731b05&xptdk=415ecd64-c543-4ff3-b0c8-cb3f1e731b05,Karl Lagerfeld
◇MOLI 莫麗◇ KARL 卡爾 桃色時尚 女性淡香精100ml TESTER-374-293$790已售出 42臺北市中正區找相似,https://shopee.tw//◇MOLI-莫麗◇-KARL-卡爾-桃色時尚-女性淡香精100ml-TESTER-374-293-i.2299401.1849185184?sp_atk=1fe58b98-005d-40c0-b537-3651bc7ce820&xptdk=1fe58b98-005d-40c0-b537-3651bc7ce820,Karl Lagerfeld
"蝦皮優選~歐巴&歐尼~KARL LAGERFELD 卡爾同名時尚男性淡香水 100ml tester$950 - $1,199已售出 11新北市三重區找相似",https://shopee.tw//~歐巴-歐尼~KARL-LAGERFELD-卡爾同名時尚男性淡香水-100ml-tester-i.7520398.2911845313?sp_atk=e6964cbf-1405-4ffb-9b12-285da7362a21&xptdk=e6964cbf-1405-4ffb-9b12-285da7362a21,Karl Lagerfeld
蝦皮優選~歐巴&歐尼~ Karl Lagerfeld 卡爾拉格斐 靛藍雪松 男性淡香水 100ml Tester$777已售出 4新北市三重區找相似,https://shopee.tw//~歐巴-歐尼~-Karl-Lagerfeld-卡爾拉格斐-靛藍雪松-男性淡香水-100ml-Tester-i.7520398.7809499956?sp_atk=ff8f76b7-400f-4c29-bbf3-eadf3459ea78&xptdk=ff8f76b7-400f-4c29-bbf3-eadf3459ea78,Karl Lagerfeld
HUAHUA香水美妝 KARL LAGERFELD 清檸綠茶淡香精 100ml『全新正品』$990已售出 2臺北市中山區找相似,https://shopee.tw//HUAHUA香水美妝-KARL-LAGERFELD-清檸綠茶淡香精-100ml『全新正品』-i.935762.21603075755?sp_atk=438d351e-6f09-4f21-bd46-da0b32c10649&xptdk=438d351e-6f09-4f21-bd46-da0b32c10649,Karl Lagerfeld
愛妮❤️KARL LAGERFELD 香奈兒老佛爺 卡爾·拉格斐  同名時尚 男性淡香水100ml /【TESTER】$899已售出 77高雄市路竹區找相似,https://shopee.tw//愛妮❤️KARL-LAGERFELD-香奈兒老佛爺-卡爾·拉格斐-同名時尚-男性淡香水100ml-【TESTER】-i.48341460.2595935470?sp_atk=ea5783e2-fcd2-4e88-94ce-3290f1cf6397&xptdk=ea5783e2-fcd2-4e88-94ce-3290f1cf6397,Karl Lagerfeld
HUAHUA香水美妝 KARL LAGERFELD 卡爾拉格斐 湛藍雪松 男性 淡香水 50ml 『全新正品』$790臺北市中山區找相似,https://shopee.tw//HUAHUA香水美妝-KARL-LAGERFELD-卡爾拉格斐-湛藍雪松-男性-淡香水-50ml-『全新正品』-i.935762.20217109414?sp_atk=96437d25-fd52-4791-911b-3203152520cd&xptdk=96437d25-fd52-4791-911b-3203152520cd,Karl Lagerfeld
【艾莉❤美妝小鋪】KARL LAGERFELD卡爾桃色時尚女性淡香精100ml TESTER~374-293$790已售出 11臺北市中正區找相似,https://shopee.tw//【艾莉❤美妝小鋪】KARL-LAGERFELD卡爾桃色時尚女性淡香精100ml-TESTER~374-293-i.2298919.1849164408?sp_atk=2bf19e2a-827a-4a96-933c-f2fc41acbfeb&xptdk=2bf19e2a-827a-4a96-933c-f2fc41acbfeb,Karl Lagerfeld
"KARL LAGERFELD 清檸綠茶淡香精100ml$2,400已售出 29新北市新店區找相似",https://shopee.tw//KARL-LAGERFELD-清檸綠茶淡香精100ml-i.5485615.14822779149?sp_atk=19fd34c8-85bc-4884-8aad-ae5b54085efe&xptdk=19fd34c8-85bc-4884-8aad-ae5b54085efe,Karl Lagerfeld
2.5折廣告專櫃正品 ✨買一送一 香水 男女香水 情侶香水 中性淡香水 香水 附噴頭 100ML滿額折$30$399 - $699桃園市蘆竹區找相似,https://shopee.tw//專櫃正品-✨買一送一-香水-男女香水-情侶香水-中性淡香水-香水-附噴頭-100ML-i.824005382.18330730646?sp_atk=33e3068c-59c7-4203-8fd2-1a6631d2fcf9&xptdk=33e3068c-59c7-4203-8fd2-1a6631d2fcf9,Karl Lagerfeld
"4.8折廣告🌟今日下單🌟 買一送一Dipt🌟yqu 蒂普🌟提克 香水75/100ml 黑標 白標 檀道 無花果 肌膚之華 香水2 件 5折$1,436 - $2,080已售出 30新北市金山區找相似",https://shopee.tw//🌟今日下單🌟-買一送一Dipt🌟yqu-蒂普🌟提克-香水75-100ml-黑標-白標-檀道-無花果-肌膚之華-香水-i.97613321.20704329543?sp_atk=1a30b4ae-e40e-4b46-b985-280383eeea04&xptdk=1a30b4ae-e40e-4b46-b985-280383eeea04,Karl Lagerfeld
"3折廣告專櫃正品 ✨買一送一 香水 女士香水 香水 花漾淡香水 女生香水 EDT 送禮物  香水100ML滿額折$1002 件 5折$3,500$1,058桃園市蘆竹區找相似",https://shopee.tw//專櫃正品-✨買一送一-香水-女士香水-香水-花漾淡香水-女生香水-EDT-送禮物-香水100ML-i.824005382.19430700000?sp_atk=495e7cd7-9b06-4341-91f3-bd6c213e4ef3&xptdk=495e7cd7-9b06-4341-91f3-bd6c213e4ef3,Karl Lagerfeld
"廣告買一送一🔥SAUVAGE 曠野之心 男士香水 淡香水 濃香水 曠野男香 100ml 男性香水【附發票+提袋】滿額折$99$975 - $1,750已售出 55桃園市大園區找相似",https://shopee.tw//買一送一🔥SAUVAGE-曠野之心-男士香水-淡香水-濃香水-曠野男香-100ml-男性香水【附發票-提袋】-i.765183923.16976163072?sp_atk=7a3df199-4b6c-4782-ab09-e5abbf1695d8&xptdk=7a3df199-4b6c-4782-ab09-e5abbf1695d8,Karl Lagerfeld
