title,link,search_term,note,top_note,heart_note,base_note
蝦皮優選香妮💋Anna Sui 安娜蘇 Secret Wish 許願精靈 女性淡香水30/50ml /75ml/【TESTER】$599 - $980已售出 94高雄市路竹區找相似,https://shopee.tw/香妮💋Anna-Sui-安娜蘇-Secret-Wish-許願精靈-女性淡香水30-50ml-75ml-【TESTER】-i.131326797.2101048429?sp_atk=4fc15cd2-c233-4535-95b8-bd7899ec0d36&xptdk=4fc15cd2-c233-4535-95b8-bd7899ec0d36,ANNA SUI,,前味:金盞花、哈密瓜、檸檬,中味:黑醋栗、鳳梨,後味:白雪松、白麝香、琥珀
"4.4折ANNA SUI 安娜蘇 紫色同名淡香水 30ML 現貨 廠商直送滿額折$80$1,800$789已售出 2桃園市楊梅區找相似",https://shopee.tw/ANNA-SUI-安娜蘇-紫色同名淡香水-30ML-現貨-廠商直送-i.116304162.10493234172?sp_atk=a0216b40-aa33-4bf4-8168-a035597d741d&xptdk=a0216b40-aa33-4bf4-8168-a035597d741d,ANNA SUI,香調:玫瑰花香調,前調:佛手柑、杏、桃、桑椹,中調:鳶尾花、茉莉、保加利亞玫瑰、山谷百合,後調:杉木、檀木、頓加豆
"ANNA SUI安娜蘇 摩登迷你小香禮盒(5mlX5入)-附品牌紙袋9折$3,000已售出 44臺中市西區找相似",https://shopee.tw/ANNA-SUI安娜蘇-摩登迷你小香禮盒(5mlX5入)-附品牌紙袋-i.18404525.10472985962?sp_atk=9a379796-109b-4fe9-88b2-5d49402972cf&xptdk=9a379796-109b-4fe9-88b2-5d49402972cf,ANNA SUI,,前調:梨子、佛手柑、粉紅胡椒,中調:鈴蘭、玫瑰、蓮花,後調:麝香、香草、爆米花
"3.8折ANNA SUI安娜蘇 童話獨角獸淡香水(30ml / 75ml / 75ml-TESTER)【美麗購】滿額折$30$1,099 - $1,299已售出 48苗栗縣後龍鎮找相似",https://shopee.tw/ANNA-SUI安娜蘇-童話獨角獸淡香水(30ml-75ml-75ml-TESTER)【美麗購】-i.10594066.528951383?sp_atk=14aa8b16-ee84-4705-b35e-b76f364b5a22&xptdk=14aa8b16-ee84-4705-b35e-b76f364b5a22,ANNA SUI,,前味:紅柚、黑醋栗、粉紅胡椒,中味:紫羅蘭、橙花、蘭花、覆盆子果糖,後味:黃金柏樹、雪松
蝦皮優選發票價  Anna Sui 安娜蘇 逐夢翎雀 女性淡香水 30ml 50ml 75ml  ☆櫥窗小姐☆$719 - $939已售出 361新北市新莊區找相似,https://shopee.tw/發票價-Anna-Sui-安娜蘇-逐夢翎雀-女性淡香水-30ml-50ml-75ml-☆櫥窗小姐☆-i.362777.12015482?sp_atk=dd76b4b5-4df4-471e-8599-b60d211c6bb6&xptdk=dd76b4b5-4df4-471e-8599-b60d211c6bb6,ANNA SUI,商品規格分類蝦皮購物美妝保養香水、香氛品牌ANNASUI安娜蘇性別女性香水濃度EDT、淡香水質地噴霧商品數量8出貨地新北市新莊區商品詳情香調:清新花果香調,前味:日本蜜柚、爪哇檸檬、荔枝,中味:玫瑰花、星木蘭、紫蒼蘭,後味:白麝香、安息香、雲杉
新品熱氣球上架囉😍😍ANNA SUI安娜蘇 童話美人魚女性淡香水 針管/童話獨角獸女性淡香水 針管/綺幻飛行女性淡香水$49已售出 965高雄市左營區找相似,https://shopee.tw/新品熱氣球上架囉😍😍ANNA-SUI安娜蘇-童話美人魚女性淡香水-針管-童話獨角獸女性淡香水-針管-綺幻飛行女性淡香水-i.192290655.6844453169?sp_atk=ec1dd0f7-9dca-4dcd-8621-2c0698cd6b47&xptdk=ec1dd0f7-9dca-4dcd-8621-2c0698cd6b47,ANNA SUI,,-前調:佛手柑、梨、粉紅胡椒,中調:鈴蘭、玫瑰、蓮花,後調:麝香、香草、爆米花
8折ANNA SUI 安娜蘇 幸運 許願精靈/童話獨角獸/金色 粉紅獨角獸/童話美人魚/綺幻飛行 5ml 小香水◆NANA◆$159 - $250已售出 177臺北市大同區找相似,https://shopee.tw/ANNA-SUI-安娜蘇-幸運-許願精靈-童話獨角獸-金色-粉紅獨角獸-童話美人魚-綺幻飛行-5ml-小香水◆NANA◆-i.357737.88790650?sp_atk=2c97732b-b6de-4d29-b05c-5f22d1f7cf5a&xptdk=2c97732b-b6de-4d29-b05c-5f22d1f7cf5a,ANNA SUI,香調:柑橘花香調,前味:佛手柑、金桔、蘋果花,中味:小蒼蘭花瓣、玫瑰、水蓮、蠟菊,後味:金木、琥珀、麝香
✰YENGEE✰ ANNA SUI 安娜蘇 綠野仙蹤 淡香水 50ML/30ml/75ml$840已售出 16臺北市大同區找相似,https://shopee.tw/✰YENGEE✰-ANNA-SUI-安娜蘇-綠野仙蹤-淡香水-50ML-30ml-75ml-i.20782639.489941085?sp_atk=4f790f76-08c8-43a3-b838-11a7fd51cdf5&xptdk=4f790f76-08c8-43a3-b838-11a7fd51cdf5,ANNA SUI,香調:花果甜美調,前味:檸檬、葡萄柚、黑醋栗,中味:雙瓣茉莉、蓮花、橙花,後味:梔子花、三角葉揚、檀香
"Anna Sui童話美人魚淡香水禮盒(30ml+化妝包)$1,399已售出 9新北市新店區找相似",https://shopee.tw/Anna-Sui童話美人魚淡香水禮盒(30ml-化妝包)-i.5485615.16442689803?sp_atk=2a708e77-d4dc-498b-b9cd-f8941180474c&xptdk=2a708e77-d4dc-498b-b9cd-f8941180474c,ANNA SUI,"""香調:東方花果調",前味:血橙、柑橘、小荳蔻,中味:茉莉、牡丹、荔枝,"後味:金色木香、香草、蜂蜜"""
『☆AYP香氛賣場☆』Anna Sui  安娜蘇甜蜜夢境女性淡香水50ML$850已售出 6找相似,https://shopee.tw/『☆AYP香氛賣場☆』Anna-Sui-安娜蘇甜蜜夢境女性淡香水50ML-i.614996899.17522963392?sp_atk=075b9a45-dca0-4146-893d-f5c0c13810a0&xptdk=075b9a45-dca0-4146-893d-f5c0c13810a0,ANNA SUI,香調:花果甜美調,前味:橘子、熟桃李、佛手柑,中味:玫瑰、水蜜桃、小蒼蘭,後味:檀香、白樺和荳蔻香味、大溪地香草
"蝦皮優選香親香愛～Anna Sui 安娜蘇 粉紅童話獨角獸 50ml, Fantasia Forever$899 - $999已售出 54臺北市大同區找相似",https://shopee.tw/香親香愛～Anna-Sui-安娜蘇-粉紅童話獨角獸-50ml-Fantasia-Forever-i.1285345.3256197069?sp_atk=2834a522-dbfa-4adc-9133-eb14e3653f1c&xptdk=2834a522-dbfa-4adc-9133-eb14e3653f1c,ANNA SUI,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌ANNASUI安娜蘇性別女性質地噴霧商品數量12出貨地臺北市大同區商品詳情香調:柑橘花香調,"前味:佛手柑,金桔,蘋果花","中味:小蒼蘭花瓣蘭,玫瑰,水蓮,蠟菊","後味:金木,琥珀,麝香"
蝦皮優選發票價 ANNA SUI 安娜蘇 紫蝶戀淡香水 30ml 50ml 75ml ☆櫥窗小姐☆$719已售出 69新北市新莊區找相似,https://shopee.tw/發票價-ANNA-SUI-安娜蘇-紫蝶戀淡香水-30ml-50ml-75ml-☆櫥窗小姐☆-i.362777.12015531?sp_atk=3b9b4bb3-d3c7-47d6-839b-d111cefcd737&xptdk=3b9b4bb3-d3c7-47d6-839b-d111cefcd737,ANNA SUI,,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌ANNASUI安娜蘇性別女性香水濃度EDT、淡香水質地噴霧商品數量18出貨地新北市新莊區商品詳情前調:土耳其玫瑰、鮮梨、小紅莓、火龍果,中調:木蘭、牡丹、蒼蘭,後調:白木、麝香、覆盆子、黑香草混白檀
"蝦皮優選香親香愛～Anna Sui 幸運精靈 75/30ml Tester, Lucky Wish$599已售出 52臺北市大同區找相似",https://shopee.tw/香親香愛～Anna-Sui-幸運精靈-75-30ml-Tester-Lucky-Wish-i.1285345.243836568?sp_atk=be6a5766-89d4-483f-a018-a5dc7857353d&xptdk=be6a5766-89d4-483f-a018-a5dc7857353d,ANNA SUI,商品規格分類蝦皮購物美妝保健香水、香氛香水、香精品牌ANNASUI安娜蘇性別女性質地噴霧商品數量3出貨地臺北市大同區商品詳情香調:清新花果香調,"前味:檸檬,柑橘,紅柚","中味:蒼蘭,橙花,蘭花","後味:麝香,檀香,琥珀"
"4.4折ANNA SUI安娜蘇 童話美人魚淡香水 30ml / 50ml / 75ml【美麗購】滿額折$30$798 - $1,299已售出 39苗栗縣後龍鎮找相似",https://shopee.tw/ANNA-SUI安娜蘇-童話美人魚淡香水-30ml-50ml-75ml【美麗購】-i.10594066.2226279605?sp_atk=a2c1a6da-85bb-4de0-a36a-52a7ee58ec2b&xptdk=a2c1a6da-85bb-4de0-a36a-52a7ee58ec2b,ANNA SUI,,前味:血橙、柑橘、小荳蔻,中味:茉莉、牡丹、荔枝,後味:金色木香、香草、蜂蜜
