title,link,search_term
"6.1折廣告ACCA KAPPA 白麝香經典淡香精 香水 Muschio Bianco 男香 白苔 - WBK SHOP9.2折$2,600$1,580已售出 11臺北市信義區找相似",https://shopee.tw/ACCA-KAPPA-白麝香經典淡香精-香水-Muschio-Bianco-男香-白苔-WBK-SHOP-i.21975525.9606026549?sp_atk=8b6a3c48-7927-4a2b-b9c8-7c21982cda28&xptdk=8b6a3c48-7927-4a2b-b9c8-7c21982cda28,Acca Kappa
"5.6折廣告🌟今日下單🌟 買一送一  SAUV♥AGE  曠野之♥ 香水100ml 現貨開箱錄影 不正包退  EDT 男士香水淡濃香2 件 5折$1,688 - $1,888已售出 7新北市金山區找相似",https://shopee.tw/🌟今日下單🌟-買一送一-SAUV♥AGE-曠野之♥-香水100ml-現貨開箱錄影-不正包退-EDT-男士香水淡濃香-i.97613321.21804450642?sp_atk=62f2aff1-fb4e-449e-8de9-d23caca3c7bf&xptdk=62f2aff1-fb4e-449e-8de9-d23caca3c7bf,Acca Kappa
廣告🌈晨曦㊣香氛館💎【ACCA KAPPA】白麝香古龍水✨玻璃試香瓶1/2/5ml✨現貨正品$35 - $145已售出 253新北市新莊區找相似,https://shopee.tw/🌈晨曦㊣香氛館💎【ACCA-KAPPA】白麝香古龍水✨玻璃試香瓶1-2-5ml✨現貨正品-i.32416120.8941037336?sp_atk=c0ee571d-13af-40e6-baee-6d6554738742&xptdk=c0ee571d-13af-40e6-baee-6d6554738742,Acca Kappa
"7折廣告現貨 Diptyqu 蒂普-提克同款 香水 黑標 白標 75ml 100ml 夏日之光 檀道 無花果 肌膚之華 香水 香滿額折$150$1,988$1,392已售出 9雲林縣虎尾鎮找相似",https://shopee.tw/現貨-Diptyqu-蒂普-提克同款-香水-黑標-白標-75ml-100ml-夏日之光-檀道-無花果-肌膚之華-香水-香-i.22760576.19825785470?sp_atk=e4d2ee9a-7707-457a-b431-5b9a576be6e1&xptdk=e4d2ee9a-7707-457a-b431-5b9a576be6e1,Acca Kappa
"5.8折廣告💋買一送一💋Bvlg❁ari 寶格❁麗 香水 大吉嶺茶 原版+夜幽+極致 女士香水 中性淡香水 男士淡香水2 件 5折$2,880$1,680已售出 53新北市石門區找相似",https://shopee.tw/💋買一送一💋Bvlg❁ari-寶格❁麗-香水-大吉嶺茶-原版-夜幽-極致-女士香水-中性淡香水-男士淡香水-i.97578126.10396369053?sp_atk=b17ec932-2733-4cbd-a9d6-d3ba36db7707&xptdk=b17ec932-2733-4cbd-a9d6-d3ba36db7707,Acca Kappa
"蝦皮優選Acca Kappa 白麝香香水 100ml 50ml 30ml 香水 淡香水$730 - $940已售出 1,384臺中市西區找相似",https://shopee.tw/Acca-Kappa-白麝香香水-100ml-50ml-30ml-香水-淡香水-i.23073351.1307892095?sp_atk=36f05f0b-afd9-4aec-93f9-55bc989a9eee&xptdk=36f05f0b-afd9-4aec-93f9-55bc989a9eee,Acca Kappa
6.4折🔥蕾泰勒🔥 Acca Kappa 淡香精  紫藤花馥柔 茉莉&橙花 蠟菊 1869典藏 鼠尾草&琥珀 愛之無限 我的香味滿額折$10加價購$900$575已售出 108雲林縣西螺鎮找相似,https://shopee.tw/🔥蕾泰勒🔥-Acca-Kappa-淡香精-紫藤花馥柔-茉莉-橙花-蠟菊-1869典藏-鼠尾草-琥珀-愛之無限-我的香味-i.22815316.6768580683?sp_atk=7e28b066-e50f-49b5-9334-90507d6f157f&xptdk=7e28b066-e50f-49b5-9334-90507d6f157f,Acca Kappa
"4.4折ACCA KAPPA 白麝香香水 中性古龍水 多款可選 －WBK SHOP滿額折$10$700 - $1,000已售出 2臺北市信義區找相似",https://shopee.tw/ACCA-KAPPA-白麝香香水-中性古龍水-多款可選-－WBK-SHOP-i.21975525.264536818?sp_atk=2c62afda-b9be-4281-9c47-8ca3a6614b44&xptdk=2c62afda-b9be-4281-9c47-8ca3a6614b44,Acca Kappa
7.4折【正品帶發票】ACCA KAPPA  艾卡帕 白麝香淡香水 30ml加價購$999$740已售出 1彰化縣彰化市找相似,https://shopee.tw/【正品帶發票】ACCA-KAPPA-艾卡帕-白麝香淡香水-30ml-i.2497187.20802806602?sp_atk=980fd4b1-7f4c-4d40-bca2-6db7ec6a268b&xptdk=980fd4b1-7f4c-4d40-bca2-6db7ec6a268b,Acca Kappa
蝦皮優選香妮💋Acca Kappa 白麝香 中性淡香水 / 淡香精  15ml/ 50ml/ 100ml$580 - $980已售出 45高雄市路竹區找相似,https://shopee.tw/香妮💋Acca-Kappa-白麝香-中性淡香水-淡香精-15ml-50ml-100ml-i.131326797.2108050847?sp_atk=ec73991d-6ef3-4878-95e2-f84e03d015e2&xptdk=ec73991d-6ef3-4878-95e2-f84e03d015e2,Acca Kappa
"4.8折Acca Kappa 白麝香香水 100ML 現貨 廠商直送滿額折$80$2,100$999已售出 10桃園市楊梅區找相似",https://shopee.tw/Acca-Kappa-白麝香香水-100ML-現貨-廠商直送-i.116304162.7391531658?sp_atk=5db6aba2-6102-4124-ad45-876eff5ece1c&xptdk=5db6aba2-6102-4124-ad45-876eff5ece1c,Acca Kappa
"蝦皮優選Acca Kappa  白麝香 香水30ml/50ml/100ml$730 - $1,020已售出 2,569臺中市西區找相似",https://shopee.tw/Acca-Kappa-白麝香-香水30ml-50ml-100ml-i.23073351.272138238?sp_atk=d0031452-5235-475d-90be-04b7c8f478ba&xptdk=d0031452-5235-475d-90be-04b7c8f478ba,Acca Kappa
9.3折Acca Kappa Muschio Bianco 白麝香 淡香水 30 50ML 100ml TESTER【日韓美妝】$699 - $949已售出 186臺北市大同區找相似,https://shopee.tw/Acca-Kappa-Muschio-Bianco-白麝香-淡香水-30-50ML-100ml-TESTER【日韓美妝】-i.8521265.77338384?sp_atk=4e34766b-839f-4def-bc2b-15d048cb34db&xptdk=4e34766b-839f-4def-bc2b-15d048cb34db,Acca Kappa
"【超激敗】Acca Kappa 白麝香 香水 50ML  100ML$1,039已售出 102臺北市大同區找相似",https://shopee.tw/【超激敗】Acca-Kappa-白麝香-香水-50ML-100ML-i.4884871.20394832?sp_atk=c70b8a00-fcad-4b9e-acef-f2304711a425&xptdk=c70b8a00-fcad-4b9e-acef-f2304711a425,Acca Kappa
ACCA KAPPA 白麝香香水 50ml 現貨 白麝香 香水$820已售出 48臺中市北區找相似,https://shopee.tw/ACCA-KAPPA-白麝香香水-50ml-現貨-白麝香-香水-i.73919341.1415380994?sp_atk=bb06ef98-4662-48f1-b5eb-86799bd8fbd5&xptdk=bb06ef98-4662-48f1-b5eb-86799bd8fbd5,Acca Kappa
"8折廣告💋買一送一💋髒話香水 Juicy C0uture  淡香水 100ml 橘滋 臟話 壞男孩 男士香水 100ml2 件 5折$1,980$1,580已售出 3新北市石門區找相似",https://shopee.tw/💋買一送一💋髒話香水-Juicy-C0uture-淡香水-100ml-橘滋-臟話-壞男孩-男士香水-100ml-i.97578126.18712167963?sp_atk=fe4475f7-64ec-49ef-ac7c-37de83fa611e&xptdk=fe4475f7-64ec-49ef-ac7c-37de83fa611e,Acca Kappa
"8折廣告買一送一YSL 伊夫聖羅蘭 分裝試香 香水 新款先鋒男士Y香水 Y先生 清新海洋香 濃香香水  男士香水  100ml2 件 5折$2,150$1,720已售出 23臺南市中西區找相似",https://shopee.tw/買一送一YSL-伊夫聖羅蘭-分裝試香-香水-新款先鋒男士Y香水-Y先生-清新海洋香-濃香香水-男士香水-100ml-i.7522019.20006133419?sp_atk=14889f1d-000a-4fac-9212-9f4634eada46&xptdk=14889f1d-000a-4fac-9212-9f4634eada46,Acca Kappa
"4.8折廣告🌟今日下單🌟 買一送一Dipt🌟yqu 蒂普🌟提克 香水75/100ml 黑標 白標 檀道 無花果 肌膚之華 香水2 件 5折$1,436 - $2,080已售出 11新北市金山區找相似",https://shopee.tw/🌟今日下單🌟-買一送一Dipt🌟yqu-蒂普🌟提克-香水75-100ml-黑標-白標-檀道-無花果-肌膚之華-香水-i.97613321.20704329543?sp_atk=85430315-588b-48bd-8d5b-83306e87a377&xptdk=85430315-588b-48bd-8d5b-83306e87a377,Acca Kappa
"6折廣告Acca Kappa白麝香古龍水100ML 白麝香淡香水香水古龍水$2,100$1,250已售出 6花蓮縣花蓮市找相似",https://shopee.tw/Acca-Kappa白麝香古龍水100ML-白麝香淡香水香水古龍水-i.603888869.15510890449?sp_atk=e000a57a-310b-4e1a-a3ef-55f1b0e65733&xptdk=e000a57a-310b-4e1a-a3ef-55f1b0e65733,Acca Kappa
"2.8折廣告【快速出貨】黑白香水 中性淡香水/情侶香水  交換禮物 香水 100ml滿額折$20$1,388$388已售出 1桃園市桃園區找相似",https://shopee.tw/【快速出貨】黑白香水-中性淡香水-情侶香水-交換禮物-香水-100ml-i.790136142.20120497492?sp_atk=f7b55c65-23a1-4db7-afd4-64207c09bd8b&xptdk=f7b55c65-23a1-4db7-afd4-64207c09bd8b,Acca Kappa
"蝦皮優選ACCA KAPPA 紫藤花淡香精15ml/100ml 隨身香水筆$620 - $2,190已售出 6新北市林口區找相似",https://shopee.tw/ACCA-KAPPA-紫藤花淡香精15ml-100ml-隨身香水筆-i.243811.9253463524?sp_atk=9e2977f1-5a71-416b-ba6d-a850db5d4921&xptdk=9e2977f1-5a71-416b-ba6d-a850db5d4921,Acca Kappa
