title,link,search_term
"6.7折廣告AESOP 香水 50ml(熾香水 / 馥香水 / 悟香水 / 馬拉喀什馥郁香水)滿額折$300加價購$2,545 - $3,545已售出 14臺北市松山區找相似",https://shopee.tw/AESOP-香水-50ml(熾香水-馥香水-悟香水-馬拉喀什馥郁香水)-i.16173010.16130910474?sp_atk=8d0c11ad-2c3e-4731-a809-168bf1aba7ca&xptdk=8d0c11ad-2c3e-4731-a809-168bf1aba7ca,Aesop
"6.6折廣告現貨 🍄🍄 全新正品 Aesop 香水 50ml 馥香水 / 悟香水 / 熾香水 伊索 Tacit Hwyl滿額折$30加價購$1,930 - $3,090已售出 2,045高雄市左營區找相似",https://shopee.tw/現貨-🍄🍄-全新正品-Aesop-香水-50ml-馥香水-悟香水-熾香水-伊索-Tacit-Hwyl-i.118853723.12004217156?sp_atk=0f3a2dac-25ec-4e99-9bbb-f78f5f8fac9b&xptdk=0f3a2dac-25ec-4e99-9bbb-f78f5f8fac9b,Aesop
"5.3折廣告❁買一送一❁ Le⭐Lab 實驗⭐室香水同款 31玫瑰 29紅茶 33檀香木 佛手柑 紅茶 10東京 淡香水100ml2 件 5折$3,189$1,680已售出 94臺北市松山區找相似",https://shopee.tw/❁買一送一❁-Le⭐Lab-實驗⭐室香水同款-31玫瑰-29紅茶-33檀香木-佛手柑-紅茶-10東京-淡香水100ml-i.97576140.19507127841?sp_atk=300b08aa-6e6c-46b1-9cf9-4745a97a66ba&xptdk=300b08aa-6e6c-46b1-9cf9-4745a97a66ba,Aesop
"6.9折廣告🌟今日下單🌟 買一送一 蔚藍香水 香奈♥兒香水 現貨開箱錄影 BLEU香水 藍色香水 蔚藍香精 男性淡香水100ml滿額折$150$1,314 - $2,843已售出 26雲林縣虎尾鎮找相似",https://shopee.tw/🌟今日下單🌟-買一送一-蔚藍香水-香奈♥兒香水-現貨開箱錄影-BLEU香水-藍色香水-蔚藍香精-男性淡香水100ml-i.22760576.18425787613?sp_atk=bec8a34c-c695-49a1-a4ab-8b8c3b6bcda8&xptdk=bec8a34c-c695-49a1-a4ab-8b8c3b6bcda8,Aesop
"5.5折廣告🌟今日下單🌟 買一送一 Le🌟Lab 實驗🌟室 香水100ml 31玫瑰 29紅茶 33檀香木 佛手柑 紅茶 10東京2 件 5折$3,189$1,756已售出 6新北市金山區找相似",https://shopee.tw/🌟今日下單🌟-買一送一-Le🌟Lab-實驗🌟室-香水100ml-31玫瑰-29紅茶-33檀香木-佛手柑-紅茶-10東京-i.97613321.20404314803?sp_atk=3b630eaa-20a3-40f8-b8e7-fb1aec9aa7ae&xptdk=3b630eaa-20a3-40f8-b8e7-fb1aec9aa7ae,Aesop
"6.8折【The Goodie】全新正品 Aesop 香水 50ml (馥/悟/熾/馬拉喀什淡香精)$2,685 - $5,190已售出 1,665新北市淡水區找相似",https://shopee.tw/【The-Goodie】全新正品-Aesop-香水-50ml-(馥-悟-熾-馬拉喀什淡香精)-i.95841726.5741421782?sp_atk=12e40afe-4904-4ddd-920a-205c9fde628e&xptdk=12e40afe-4904-4ddd-920a-205c9fde628e,Aesop
"《試香》Aesop Tacit 悟香水/馬拉喀什馥郁/馥香水/熾香水 分享瓶$90 - $400已售出 1,542臺中市北屯區找相似",https://shopee.tw/《試香》Aesop-Tacit-悟香水-馬拉喀什馥郁-馥香水-熾香水-分享瓶-i.26757917.9166585929?sp_atk=478b4dab-6ce6-45b8-b349-dd6bd42b7d58&xptdk=478b4dab-6ce6-45b8-b349-dd6bd42b7d58,Aesop
"6.6折現貨 🍄🍄 全新正品 Aesop 香水 50ml 馥香水 / 悟香水 / 熾香水 伊索 Tacit Hwyl滿額折$30加價購$1,930 - $3,090已售出 2,045高雄市左營區找相似",https://shopee.tw/現貨-🍄🍄-全新正品-Aesop-香水-50ml-馥香水-悟香水-熾香水-伊索-Tacit-Hwyl-i.118853723.12004217156?sp_atk=d6717e55-0012-42ea-867d-b0746de79fff&xptdk=d6717e55-0012-42ea-867d-b0746de79fff,Aesop
"4.8折Aesop 悟香水/馥香水/熾香水/馬拉喀什馥郁香水 50ml 交換禮物 香氛 蝦皮直送 現貨滿額折$220$2,549 - $3,549已售出 812桃園市楊梅區找相似",https://shopee.tw/Aesop-悟香水-馥香水-熾香水-馬拉喀什馥郁香水-50ml-交換禮物-香氛-蝦皮直送-現貨-i.116304162.13351725300?sp_atk=ff98cee6-38c8-4711-bee7-586668e73997&xptdk=ff98cee6-38c8-4711-bee7-586668e73997,Aesop
"蝦皮優選【Aesop】 香水 Tacit 悟  馥  Rōzu  小香 木質香水 Aēsop 卡片$70 - $140已售出 2,643臺中市北區找相似",https://shopee.tw/【Aesop】-香水-Tacit-悟-馥-Rōzu-小香-木質香水-Aēsop-卡片-i.5539906.12005350023?sp_atk=90e91a44-688a-4240-bb7a-5ee85d2fba37&xptdk=90e91a44-688a-4240-bb7a-5ee85d2fba37,Aesop
