name,link
"廣告100%正品【帶發票+禮袋】香水⚗英國梨與小蒼蘭 鼠尾草與海鹽 藍風鈴 30ml/100ml 中性香水 男女香水滿額折$99滿額贈$725 - $1,120已售出 93桃園市大園區找相似",https://shopee.tw//100-正品【帶發票-禮袋】香水⚗英國梨與小蒼蘭-鼠尾草與海鹽-藍風鈴-30ml-100ml-中性香水-男女香水-i.763643695.18501527118?sp_atk=3bf29bf2-3b85-430b-b9d3-174fecff080f&xptdk=3bf29bf2-3b85-430b-b9d3-174fecff080f
"廣告專櫃正品（免運+發票）附禮盒提袋 香水五件套 藍風鈴/英國梨/青檸羅勒柑橘/橙花/黑莓 女生香水2 件 9.5折$750 - $1,200已售出 102桃園市大園區找相似",https://shopee.tw//專櫃正品（免運-發票）附禮盒提袋-香水五件套-藍風鈴-英國梨-青檸羅勒柑橘-橙花-黑莓-女生香水-i.36430610.17145222817?sp_atk=cb014161-fea1-43b0-ba29-10c727cfa466&xptdk=cb014161-fea1-43b0-ba29-10c727cfa466
"4折廣告❁買一送一❁JM馬-龍香水五件套 藍風鈴/英國梨/女生香水禮盒附帶專櫃提袋30ml/100ml 附帶專櫃提袋，不正包退2 件 5折$998 - $2,168已售出 2臺北市松山區找相似",https://shopee.tw//❁買一送一❁JM馬-龍香水五件套-藍風鈴-英國梨-女生香水禮盒附帶專櫃提袋30ml-100ml-附帶專櫃提袋，不正包退-i.97576140.21709208571?sp_atk=b04a9d3d-e624-42e3-843a-970313232d7a&xptdk=b04a9d3d-e624-42e3-843a-970313232d7a
"6.7折廣告Jo Malone 香水30ml英國梨與小蒼蘭/藍風鈴/杏桃花與蜂蜜/橙花  蝦皮直送滿額折$200$2,400$1,599已售出 4,403桃園市楊梅區找相似",https://shopee.tw//Jo-Malone-香水30ml英國梨與小蒼蘭-藍風鈴-杏桃花與蜂蜜-橙花-蝦皮直送-i.116304162.1843485089?sp_atk=6f26735f-bb5f-48d9-82f5-893a2a08a9d6&xptdk=6f26735f-bb5f-48d9-82f5-893a2a08a9d6
"廣告免運㊣【附發票+禮品袋】🌿藍風鈴 鼠尾草與海鹽 英國梨與小蒼蘭 全新塑封 男女士通用香水 持久留香30ml/100ml滿額折$100$722 - $1,125已售出 30桃園市大園區找相似",https://shopee.tw//免運㊣【附發票-禮品袋】🌿藍風鈴-鼠尾草與海鹽-英國梨與小蒼蘭-全新塑封-男女士通用香水-持久留香30ml-100ml-i.766107115.21501548056?sp_atk=69978197-7879-41ca-bed9-27037e0af1c8&xptdk=69978197-7879-41ca-bed9-27037e0af1c8
蝦皮優選【Jo Malon】試管 卡片 香水 1.5ML 英國梨小蒼蘭 祖馬龍/藍風鈴 海鹽 紅玫瑰 鼠尾草 jomalon多件優惠$50已售出 4.6萬臺中市北區找相似,https://shopee.tw//【Jo-Malon】試管-卡片-香水-1.5ML-英國梨小蒼蘭-祖馬龍-藍風鈴-海鹽-紅玫瑰-鼠尾草-jomalon-i.5539906.2013251243?sp_atk=c34fa97c-ab03-43c3-b3a4-5e79dbd989a2&xptdk=c34fa97c-ab03-43c3-b3a4-5e79dbd989a2
"6.7折Jo Malone 香水30ml英國梨與小蒼蘭/藍風鈴/杏桃花與蜂蜜/橙花  蝦皮直送滿額折$200$2,400$1,599已售出 4,403桃園市楊梅區找相似",https://shopee.tw//Jo-Malone-香水30ml英國梨與小蒼蘭-藍風鈴-杏桃花與蜂蜜-橙花-蝦皮直送-i.116304162.1843485089?sp_atk=27bfc1d1-149b-4327-b31e-f4f722d2dbd2&xptdk=27bfc1d1-149b-4327-b31e-f4f722d2dbd2
【買六送一專櫃正品】Jo Malone 試管 小香水 黑莓 蘿勒橙花 英國梨 藍風鈴 烏木 無花果 橙花 葡萄藤 試管香$120 - $399已售出 1.1萬新北市淡水區找相似,https://shopee.tw//【買六送一專櫃正品】Jo-Malone-試管-小香水-黑莓-蘿勒橙花-英國梨-藍風鈴-烏木-無花果-橙花-葡萄藤-試管香-i.10084429.855920320?sp_atk=2b4e02db-96f7-4fd2-bafd-fea2ee28aa83&xptdk=2b4e02db-96f7-4fd2-bafd-fea2ee28aa83
"7折Jo Malone 香水 9ml  英國梨 藍風鈴 無花果 絲柏 柚子 睡蓮 桂花 香根草 鳶尾 青檬 鼠尾草情人節滿額折$25加價購$650 - $1,160已售出 1,413新北市淡水區找相似",https://shopee.tw//Jo-Malone-香水-9ml-英國梨-藍風鈴-無花果-絲柏-柚子-睡蓮-桂花-香根草-鳶尾-青檬-鼠尾草情人節-i.10084429.1290566305?sp_atk=91507cc9-dbd8-4df6-9e9d-9feb50494829&xptdk=91507cc9-dbd8-4df6-9e9d-9feb50494829
"6.2折Jo Malone 香水30ml (多款可選) 藍風鈴/英國梨與小蒼蘭/橙花/英國橡木與榛果古龍水 情人節 禮物滿額折$80加價購$2,350$1,458已售出 54臺北市松山區找相似",https://shopee.tw//Jo-Malone-香水30ml-(多款可選)-藍風鈴-英國梨與小蒼蘭-橙花-英國橡木與榛果古龍水-情人節-禮物-i.16173010.7944755966?sp_atk=b7ae28b9-e4bb-4514-af20-ae394c6b7804&xptdk=b7ae28b9-e4bb-4514-af20-ae394c6b7804
Jo Malone 祖瑪龍 英國梨與小蒼蘭 藍風鈴 鼠尾草與海鹽 青檸與羅勒柑橘 橙花 油桃花與蜂蜜  帶噴頭  9ml5 件 9.7折$160已售出 482桃園市蘆竹區找相似,https://shopee.tw//Jo-Malone-祖瑪龍-英國梨與小蒼蘭-藍風鈴-鼠尾草與海鹽-青檸與羅勒柑橘-橙花-油桃花與蜂蜜-帶噴頭-9ml-i.87214931.15267754276?sp_atk=36521d95-e21c-4d4b-b46b-1b8924e0297b&xptdk=36521d95-e21c-4d4b-b46b-1b8924e0297b
"6.2折Jo Malone 香水 多款可選 30ml 現貨 廠商直送滿額折$300$1,650 - $1,750已售出 55桃園市楊梅區找相似",https://shopee.tw//Jo-Malone-香水-多款可選-30ml-現貨-廠商直送-i.116304162.5491524931?sp_atk=afe8cb6f-09a6-4384-86cf-dcb474b45845&xptdk=afe8cb6f-09a6-4384-86cf-dcb474b45845
3.5折Jo Malone 英國經典香水 針管小香(1.5ml)-小蒼蘭 藍風鈴 鼠尾草 橙花 無花果 黃槿花 朱槿花【美麗購】$139 - $299已售出 1.7萬苗栗縣後龍鎮找相似,https://shopee.tw//Jo-Malone-英國經典香水-針管小香(1.5ml)-小蒼蘭-藍風鈴-鼠尾草-橙花-無花果-黃槿花-朱槿花【美麗購】-i.10594066.1075387957?sp_atk=158914c4-dbeb-42dc-8bbc-d92788e26653&xptdk=158914c4-dbeb-42dc-8bbc-d92788e26653
"7.6折Jo Malone 鼠尾草與海鹽香水(100ml)-手繪花盒限量包裝版-國際航空版 現貨 廠商直送滿額折$500$5,400$4,099桃園市楊梅區找相似",https://shopee.tw//Jo-Malone-鼠尾草與海鹽香水(100ml)-手繪花盒限量包裝版-國際航空版-現貨-廠商直送-i.116304162.16859450323?sp_atk=a9fb150a-6a24-4bcb-8f1e-88b55423c99f&xptdk=a9fb150a-6a24-4bcb-8f1e-88b55423c99f
"贈原廠紙卡 Jo Malone 專櫃香水 1.5ml 試管香水/針管香水 迷你香 試管香  英國梨藍風鈴 生日禮物$40 - $200已售出 6,788新北市新店區找相似",https://shopee.tw//贈原廠紙卡-Jo-Malone-專櫃香水-1.5ml-試管香水-針管香水-迷你香-試管香-英國梨藍風鈴-生日禮物-i.75799.259788?sp_atk=fa730a3e-0b28-4511-809b-65940308ef56&xptdk=fa730a3e-0b28-4511-809b-65940308ef56
"4.5折廣告6.21限定下單買一送一 曠野之♥ SAUV♥AGE 香水香精100ml不正包退 EDT 男士香水 男香水淡香兩件五折2 件 5折$1,536 - $1,836嘉義市西區找相似",https://shopee.tw//6.21限定下單買一送一-曠野之♥-SAUV♥AGE-香水香精100ml不正包退-EDT-男士香水-男香水淡香兩件五折-i.97576085.21113768091?sp_atk=6a4d2d7e-6712-4052-8700-38cfe63b38a6&xptdk=6a4d2d7e-6712-4052-8700-38cfe63b38a6
廣告Jo Malone 祖瑪龍 英國梨與小蒼蘭 藍風鈴 鼠尾草與海鹽 青檸與羅勒柑橘 橙花 油桃花與蜂蜜  帶噴頭  9ml5 件 9.7折$160已售出 482桃園市蘆竹區找相似,https://shopee.tw//Jo-Malone-祖瑪龍-英國梨與小蒼蘭-藍風鈴-鼠尾草與海鹽-青檸與羅勒柑橘-橙花-油桃花與蜂蜜-帶噴頭-9ml-i.87214931.15267754276?sp_atk=d87d125e-df99-4a53-bccc-ac24284f93a6&xptdk=d87d125e-df99-4a53-bccc-ac24284f93a6
廣告❤️熱門夯品❤️英國 Jo Malone 祖馬龍 旅行攜帶裝小樣香水五件套 香水禮盒  香水五件套 藍風鈴 英國梨小蒼蘭滿額贈$168 - $568桃園市大園區找相似,https://shopee.tw//❤️熱門夯品❤️英國-Jo-Malone-祖馬龍-旅行攜帶裝小樣香水五件套-香水禮盒-香水五件套-藍風鈴-英國梨小蒼蘭-i.794737071.21912723676?sp_atk=08b1121a-3f70-4239-9cb3-c6a0c47f9290&xptdk=08b1121a-3f70-4239-9cb3-c6a0c47f9290
"3.7折廣告6.21下單 買一送一 Dior香水 真我純香心悅 真我宣言 迪奧香水 Jadore In Joy 50/100ml2 件 5折$1,080 - $1,680已售出 62嘉義市西區找相似",https://shopee.tw//6.21下單-買一送一-Dior香水-真我純香心悅-真我宣言-迪奧香水-Jadore-In-Joy-50-100ml-i.97576085.20503822602?sp_atk=ed5701b0-e816-4241-af90-432e73619b57&xptdk=ed5701b0-e816-4241-af90-432e73619b57
"5.3折廣告💋買一送一💋小熊香水 正貨 熊芯未泯2 女性小熊淡香水 100ml 泰迪熊男性香水 MOSCHINO Toy Boy2 件 5折$2,500$1,336新北市石門區找相似",https://shopee.tw//💋買一送一💋小熊香水-正貨-熊芯未泯2-女性小熊淡香水-100ml-泰迪熊男性香水-MOSCHINO-Toy-Boy-i.97578126.18212507033?sp_atk=7a83136f-9833-440a-9397-a8f55d611a5b&xptdk=7a83136f-9833-440a-9397-a8f55d611a5b
